drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,prefix
15104,27503,Dextromethorphan,catecholaminergic polymorphic ventricular tachycardia,disease-phenotype-protein-drug,contraindication,"['catecholaminergic polymorphic ventricular tachycardia', 'Seizure', 'SLC6A2', 'Dextromethorphan']","Question: Is catecholaminergic polymorphic ventricular tachycardia an indication for Dextromethorphan?
Reasoning: The disease catecholaminergic polymorphic ventricular tachycardia is associated with the phenotype Seizure, which in turn affects the gene SLC6A2. This gene is not targeted by the drug Dextromethorphan. These connections suggest that Dextromethorphan may not be effective in treating catecholaminergic polymorphic ventricular tachycardia.
Answer: NO"
16434,38003,Acetophenazine,basal ganglia disease,disease-protein-drug,contraindication,"['basal ganglia disease', 'DRD2', 'Acetophenazine']","Question: Is basal ganglia disease an indication for Acetophenazine?
Reasoning: The disease basal ganglia disease is associated with the gene DRD2, which is not targeted by the drug Acetophenazine. These connections suggest that Acetophenazine may not be effective in treating basal ganglia disease.
Answer: NO"
14284,37764,Fenofibrate,familial hyperlipidemia,disease-protein-drug,indication,"['familial hyperlipidemia', 'PPARA', 'Fenofibrate']","Question: Is familial hyperlipidemia an indication for Fenofibrate?
Reasoning: The disease familial hyperlipidemia is associated with the gene PPARA, which is targeted by the drug Fenofibrate. These connections suggest that Fenofibrate may be effective in treating familial hyperlipidemia.
Answer: YES"
14559,35583,Calcitriol,phosphorus metabolism disease,disease-protein-drug,contraindication,"['phosphorus metabolism disease', 'CYP24A1', 'Calcitriol']","Question: Is phosphorus metabolism disease an indication for Calcitriol?
Reasoning: The disease phosphorus metabolism disease is associated with the gene CYP24A1, which is not targeted by the drug Calcitriol. These connections suggest that Calcitriol may not be effective in treating phosphorus metabolism disease.
Answer: NO"
14294,83760,Clonazepam,dysthymic disorder,disease-protein-drug,contraindication,"['dysthymic disorder', 'ALB', 'Clonazepam']","Question: Is dysthymic disorder an indication for Clonazepam?
Reasoning: The disease dysthymic disorder is associated with the gene ALB, which is not targeted by the drug Clonazepam. These connections suggest that Clonazepam may not be effective in treating dysthymic disorder.
Answer: NO"
14245,83760,Diazepam,dysthymic disorder,disease-protein-drug,contraindication,"['dysthymic disorder', 'GABRA6', 'Diazepam']","Question: Is dysthymic disorder an indication for Diazepam?
Reasoning: The disease dysthymic disorder is associated with the gene GABRA6, which is not targeted by the drug Diazepam. These connections suggest that Diazepam may not be effective in treating dysthymic disorder.
Answer: NO"
16014,28780,Chlorprothixene,Alzheimer disease,disease-phenotype-protein-drug,contraindication,"['Alzheimer disease', 'Seizure', 'ABCC2', 'Chlorprothixene']","Question: Is Alzheimer disease an indication for Chlorprothixene?
Reasoning: The disease Alzheimer disease is associated with the phenotype Seizure, which in turn affects the gene ABCC2. This gene is not targeted by the drug Chlorprothixene. These connections suggest that Chlorprothixene may not be effective in treating Alzheimer disease.
Answer: NO"
14042,83769,Hydrocortisone acetate,precursor T-cell acute lymphoblastic leukemia,disease-protein-drug,indication,"['precursor T-cell acute lymphoblastic leukemia', 'ABCG2', 'Hydrocortisone acetate']","Question: Is precursor T-cell acute lymphoblastic leukemia an indication for Hydrocortisone acetate?
Reasoning: The disease precursor T-cell acute lymphoblastic leukemia is associated with the gene ABCG2, which is targeted by the drug Hydrocortisone acetate. These connections suggest that Hydrocortisone acetate may be effective in treating precursor T-cell acute lymphoblastic leukemia.
Answer: YES"
14590,36432,Ozanimod,congestive heart failure,disease-protein-drug,contraindication,"['congestive heart failure', 'NFE2L2', 'Ozanimod']","Question: Is congestive heart failure an indication for Ozanimod?
Reasoning: The disease congestive heart failure is associated with the gene NFE2L2, which is not targeted by the drug Ozanimod. These connections suggest that Ozanimod may not be effective in treating congestive heart failure.
Answer: NO"
15209,83840,Vilazodone,unipolar depression,disease-protein-drug,indication,"['unipolar depression', 'HTR1A', 'Vilazodone']","Question: Is unipolar depression an indication for Vilazodone?
Reasoning: The disease unipolar depression is associated with the gene HTR1A, which is targeted by the drug Vilazodone. These connections suggest that Vilazodone may be effective in treating unipolar depression.
Answer: YES"
14792,35771,Paclitaxel,breast neoplasm,disease-protein-drug,indication,"['breast neoplasm', 'BCL2', 'Paclitaxel']","Question: Is breast neoplasm an indication for Paclitaxel?
Reasoning: The disease breast neoplasm is associated with the gene BCL2, which is targeted by the drug Paclitaxel. These connections suggest that Paclitaxel may be effective in treating breast neoplasm.
Answer: YES"
14177,83840,Duloxetine,unipolar depression,disease-protein-drug,indication,"['unipolar depression', 'ABCB1', 'Duloxetine']","Question: Is unipolar depression an indication for Duloxetine?
Reasoning: The disease unipolar depression is associated with the gene ABCB1, which is targeted by the drug Duloxetine. These connections suggest that Duloxetine may be effective in treating unipolar depression.
Answer: YES"
14806,31408,Entacapone,X-linked parkinsonism-spasticity syndrome,disease-phenotype-protein-drug,indication,"['X-linked parkinsonism-spasticity syndrome', 'Cogwheel rigidity', 'CYP2D6', 'Entacapone']","Question: Is X-linked parkinsonism-spasticity syndrome an indication for Entacapone?
Reasoning: The disease X-linked parkinsonism-spasticity syndrome is associated with the phenotype Cogwheel rigidity, which in turn affects the gene CYP2D6. This gene is targeted by the drug Entacapone. These connections suggest that Entacapone may be effective in treating X-linked parkinsonism-spasticity syndrome.
Answer: YES"
14024,29078,Prednisone,rheumatoid arthritis,disease-protein-drug,indication,"['rheumatoid arthritis', 'HSD11B1', 'Prednisone']","Question: Is rheumatoid arthritis an indication for Prednisone?
Reasoning: The disease rheumatoid arthritis is associated with the gene HSD11B1, which is targeted by the drug Prednisone. These connections suggest that Prednisone may be effective in treating rheumatoid arthritis.
Answer: YES"
14999,28249,Quetiapine,major affective disorder,disease-protein-drug,indication,"['major affective disorder', 'HTR1B', 'Quetiapine']","Question: Is major affective disorder an indication for Quetiapine?
Reasoning: The disease major affective disorder is associated with the gene HTR1B, which is targeted by the drug Quetiapine. These connections suggest that Quetiapine may be effective in treating major affective disorder.
Answer: YES"
14380,28313,Asenapine,schizophrenia,disease-protein-drug,indication,"['schizophrenia', 'HTR1B', 'Asenapine']","Question: Is schizophrenia an indication for Asenapine?
Reasoning: The disease schizophrenia is associated with the gene HTR1B, which is targeted by the drug Asenapine. These connections suggest that Asenapine may be effective in treating schizophrenia.
Answer: YES"
17306,83910,Phenmetrazine,drug psychosis,disease-protein-drug,contraindication,"['drug psychosis', 'SLC6A3', 'Phenmetrazine']","Question: Is drug psychosis an indication for Phenmetrazine?
Reasoning: The disease drug psychosis is associated with the gene SLC6A3, which is not targeted by the drug Phenmetrazine. These connections suggest that Phenmetrazine may not be effective in treating drug psychosis.
Answer: NO"
14999,28313,Quetiapine,schizophrenia,disease-protein-drug,indication,"['schizophrenia', 'HTR7', 'Quetiapine']","Question: Is schizophrenia an indication for Quetiapine?
Reasoning: The disease schizophrenia is associated with the gene HTR7, which is targeted by the drug Quetiapine. These connections suggest that Quetiapine may be effective in treating schizophrenia.
Answer: YES"
14323,33454,Aripiprazole,neuroleptic malignant syndrome,disease-phenotype-protein-drug,contraindication,"['neuroleptic malignant syndrome', 'Bradycardia', 'CHRM2', 'Aripiprazole']","Question: Is neuroleptic malignant syndrome an indication for Aripiprazole?
Reasoning: The disease neuroleptic malignant syndrome is associated with the phenotype Bradycardia, which in turn affects the gene CHRM2. This gene is not targeted by the drug Aripiprazole. These connections suggest that Aripiprazole may not be effective in treating neuroleptic malignant syndrome.
Answer: NO"
15457,30035,Flurazepam,substance abuse/dependence,disease-protein-drug,contraindication,"['substance abuse/dependence', 'GABRG2', 'Flurazepam']","Question: Is substance abuse/dependence an indication for Flurazepam?
Reasoning: The disease substance abuse/dependence is associated with the gene GABRG2, which is not targeted by the drug Flurazepam. These connections suggest that Flurazepam may not be effective in treating substance abuse/dependence.
Answer: NO"
14321,33594,Levodopa,diarrheal disease,disease-protein-drug,contraindication,"['diarrheal disease', 'IL1A', 'Levodopa']","Question: Is diarrheal disease an indication for Levodopa?
Reasoning: The disease diarrheal disease is associated with the gene IL1A, which is not targeted by the drug Levodopa. These connections suggest that Levodopa may not be effective in treating diarrheal disease.
Answer: NO"
14323,28313,Aripiprazole,schizophrenia,disease-protein-drug,indication,"['schizophrenia', 'HRH1', 'Aripiprazole']","Question: Is schizophrenia an indication for Aripiprazole?
Reasoning: The disease schizophrenia is associated with the gene HRH1, which is targeted by the drug Aripiprazole. These connections suggest that Aripiprazole may be effective in treating schizophrenia.
Answer: YES"
14713,83855,Decitabine,acute myeloid leukemia with t(8;21)(q22;q22) translocation,disease-protein-drug,indication,"['acute myeloid leukemia with t(8;21)(q22;q22) translocation', 'DNMT3A', 'Decitabine']","Question: Is acute myeloid leukemia with t(8;21)(q22;q22) translocation an indication for Decitabine?
Reasoning: The disease acute myeloid leukemia with t(8;21)(q22;q22) translocation is associated with the gene DNMT3A, which is targeted by the drug Decitabine. These connections suggest that Decitabine may be effective in treating acute myeloid leukemia with t(8;21)(q22;q22) translocation.
Answer: YES"
14685,83760,Progesterone,dysthymic disorder,disease-protein-drug,contraindication,"['dysthymic disorder', 'CYP2D6', 'Progesterone']","Question: Is dysthymic disorder an indication for Progesterone?
Reasoning: The disease dysthymic disorder is associated with the gene CYP2D6, which is not targeted by the drug Progesterone. These connections suggest that Progesterone may not be effective in treating dysthymic disorder.
Answer: NO"
14176,38957,Fluoxetine,major depressive disorder,disease-protein-drug,indication,"['major depressive disorder', 'CYP2D6', 'Fluoxetine']","Question: Is major depressive disorder an indication for Fluoxetine?
Reasoning: The disease major depressive disorder is associated with the gene CYP2D6, which is targeted by the drug Fluoxetine. These connections suggest that Fluoxetine may be effective in treating major depressive disorder.
Answer: YES"
15493,84023,Bromocriptine,acquired hyperprolactinemia,disease-protein-drug,indication,"['acquired hyperprolactinemia', 'DRD2', 'Bromocriptine']","Question: Is acquired hyperprolactinemia an indication for Bromocriptine?
Reasoning: The disease acquired hyperprolactinemia is associated with the gene DRD2, which is targeted by the drug Bromocriptine. These connections suggest that Bromocriptine may be effective in treating acquired hyperprolactinemia.
Answer: YES"
14191,32928,Piroxicam,acute liver failure,disease-phenotype-protein-drug,contraindication,"['acute liver failure', 'Fever', 'PTGS2', 'Piroxicam']","Question: Is acute liver failure an indication for Piroxicam?
Reasoning: The disease acute liver failure is associated with the phenotype Fever, which in turn affects the gene PTGS2. This gene is not targeted by the drug Piroxicam. These connections suggest that Piroxicam may not be effective in treating acute liver failure.
Answer: NO"
14789,30654,Daunorubicin,acute lymphoblastic/lymphocytic leukemia,disease-protein-drug,indication,"['acute lymphoblastic/lymphocytic leukemia', 'ABCG2', 'Daunorubicin']","Question: Is acute lymphoblastic/lymphocytic leukemia an indication for Daunorubicin?
Reasoning: The disease acute lymphoblastic/lymphocytic leukemia is associated with the gene ABCG2, which is targeted by the drug Daunorubicin. These connections suggest that Daunorubicin may be effective in treating acute lymphoblastic/lymphocytic leukemia.
Answer: YES"
14190,37144,Fluorouracil,squamous cell carcinoma of colon,disease-protein-drug,indication,"['squamous cell carcinoma of colon', 'TYMP', 'Fluorouracil']","Question: Is squamous cell carcinoma of colon an indication for Fluorouracil?
Reasoning: The disease squamous cell carcinoma of colon is associated with the gene TYMP, which is targeted by the drug Fluorouracil. These connections suggest that Fluorouracil may be effective in treating squamous cell carcinoma of colon.
Answer: YES"
14140,28313,Ziprasidone,schizophrenia,disease-protein-drug,indication,"['schizophrenia', 'HTR6', 'Ziprasidone']","Question: Is schizophrenia an indication for Ziprasidone?
Reasoning: The disease schizophrenia is associated with the gene HTR6, which is targeted by the drug Ziprasidone. These connections suggest that Ziprasidone may be effective in treating schizophrenia.
Answer: YES"
15138,83840,Selegiline,unipolar depression,disease-protein-drug,indication,"['unipolar depression', 'MAOB', 'Selegiline']","Question: Is unipolar depression an indication for Selegiline?
Reasoning: The disease unipolar depression is associated with the gene MAOB, which is targeted by the drug Selegiline. These connections suggest that Selegiline may be effective in treating unipolar depression.
Answer: YES"
14476,35966,Testosterone cypionate,prostate cancer,disease-protein-drug,contraindication,"['prostate cancer', 'CYP3A5', 'Testosterone cypionate']","Question: Is prostate cancer an indication for Testosterone cypionate?
Reasoning: The disease prostate cancer is associated with the gene CYP3A5, which is not targeted by the drug Testosterone cypionate. These connections suggest that Testosterone cypionate may not be effective in treating prostate cancer.
Answer: NO"
14141,30184,Phenytoin,congenital neutropenia-myelofibrosis-nephromegaly syndrome,disease-phenotype-protein-drug,contraindication,"['congenital neutropenia-myelofibrosis-nephromegaly syndrome', 'Hepatomegaly', 'CYP1A2', 'Phenytoin']","Question: Is congenital neutropenia-myelofibrosis-nephromegaly syndrome an indication for Phenytoin?
Reasoning: The disease congenital neutropenia-myelofibrosis-nephromegaly syndrome is associated with the phenotype Hepatomegaly, which in turn affects the gene CYP1A2. This gene is not targeted by the drug Phenytoin. These connections suggest that Phenytoin may not be effective in treating congenital neutropenia-myelofibrosis-nephromegaly syndrome.
Answer: NO"
14140,38242,Ziprasidone,bipolar disorder,disease-protein-drug,indication,"['bipolar disorder', 'DRD2', 'Ziprasidone']","Question: Is bipolar disorder an indication for Ziprasidone?
Reasoning: The disease bipolar disorder is associated with the gene DRD2, which is targeted by the drug Ziprasidone. These connections suggest that Ziprasidone may be effective in treating bipolar disorder.
Answer: YES"
15778,27219,Tolazamide,hypogonadotropic hypogonadism with or without anosmia,disease-phenotype-protein-drug,contraindication,"['hypogonadotropic hypogonadism with or without anosmia', 'Hearing impairment', 'RSPH4A', 'Tolazamide']","Question: Is hypogonadotropic hypogonadism with or without anosmia an indication for Tolazamide?
Reasoning: The disease hypogonadotropic hypogonadism with or without anosmia is associated with the phenotype Hearing impairment, which in turn affects the gene RSPH4A. This gene is not targeted by the drug Tolazamide. These connections suggest that Tolazamide may not be effective in treating hypogonadotropic hypogonadism with or without anosmia.
Answer: NO"
14023,39540,Triamcinolone,angioedema,disease-protein-drug,indication,"['angioedema', 'ALB', 'Triamcinolone']","Question: Is angioedema an indication for Triamcinolone?
Reasoning: The disease angioedema is associated with the gene ALB, which is targeted by the drug Triamcinolone. These connections suggest that Triamcinolone may be effective in treating angioedema.
Answer: YES"
14945,83869,Sorafenib,fibrolamellar hepatocellular carcinoma,disease-protein-drug,indication,"['fibrolamellar hepatocellular carcinoma', 'BRAF', 'Sorafenib']","Question: Is fibrolamellar hepatocellular carcinoma an indication for Sorafenib?
Reasoning: The disease fibrolamellar hepatocellular carcinoma is associated with the gene BRAF, which is targeted by the drug Sorafenib. These connections suggest that Sorafenib may be effective in treating fibrolamellar hepatocellular carcinoma.
Answer: YES"
14691,33534,Amiloride,pediatric systemic lupus erythematosus,disease-phenotype-protein-drug,contraindication,"['pediatric systemic lupus erythematosus', 'Edema', 'SLC9A1', 'Amiloride']","Question: Is pediatric systemic lupus erythematosus an indication for Amiloride?
Reasoning: The disease pediatric systemic lupus erythematosus is associated with the phenotype Edema, which in turn affects the gene SLC9A1. This gene is not targeted by the drug Amiloride. These connections suggest that Amiloride may not be effective in treating pediatric systemic lupus erythematosus.
Answer: NO"
14156,32977,Amitriptyline,inherited porphyria,disease-phenotype-protein-drug,contraindication,"['inherited porphyria', 'Pruritus', 'HRH4', 'Amitriptyline']","Question: Is inherited porphyria an indication for Amitriptyline?
Reasoning: The disease inherited porphyria is associated with the phenotype Pruritus, which in turn affects the gene HRH4. This gene is not targeted by the drug Amitriptyline. These connections suggest that Amitriptyline may not be effective in treating inherited porphyria.
Answer: NO"
14150,31493,Morphine,pancreatitis,disease-protein-drug,contraindication,"['pancreatitis', 'ALB', 'Morphine']","Question: Is pancreatitis an indication for Morphine?
Reasoning: The disease pancreatitis is associated with the gene ALB, which is not targeted by the drug Morphine. These connections suggest that Morphine may not be effective in treating pancreatitis.
Answer: NO"
15099,27933,Zolpidem,anxiety disorder,disease-protein-drug,contraindication,"['anxiety disorder', 'GABRA3', 'Zolpidem']","Question: Is anxiety disorder an indication for Zolpidem?
Reasoning: The disease anxiety disorder is associated with the gene GABRA3, which is not targeted by the drug Zolpidem. These connections suggest that Zolpidem may not be effective in treating anxiety disorder.
Answer: NO"
15493,28974,Bromocriptine,early-onset parkinsonism-intellectual disability syndrome,disease-phenotype-protein-drug,indication,"['early-onset parkinsonism-intellectual disability syndrome', 'Seizure', 'ADRA1B', 'Bromocriptine']","Question: Is early-onset parkinsonism-intellectual disability syndrome an indication for Bromocriptine?
Reasoning: The disease early-onset parkinsonism-intellectual disability syndrome is associated with the phenotype Seizure, which in turn affects the gene ADRA1B. This gene is targeted by the drug Bromocriptine. These connections suggest that Bromocriptine may be effective in treating early-onset parkinsonism-intellectual disability syndrome.
Answer: YES"
14783,32313,Caffeine,Haddad syndrome,disease-phenotype-protein-drug,contraindication,"['Haddad syndrome', 'Seizure', 'ADORA2A', 'Caffeine']","Question: Is Haddad syndrome an indication for Caffeine?
Reasoning: The disease Haddad syndrome is associated with the phenotype Seizure, which in turn affects the gene ADORA2A. This gene is not targeted by the drug Caffeine. These connections suggest that Caffeine may not be effective in treating Haddad syndrome.
Answer: NO"
14275,84160,Doxorubicin,primary mediastinal large B-cell lymphoma,disease-protein-drug,indication,"['primary mediastinal large B-cell lymphoma', 'ABCG2', 'Doxorubicin']","Question: Is primary mediastinal large B-cell lymphoma an indication for Doxorubicin?
Reasoning: The disease primary mediastinal large B-cell lymphoma is associated with the gene ABCG2, which is targeted by the drug Doxorubicin. These connections suggest that Doxorubicin may be effective in treating primary mediastinal large B-cell lymphoma.
Answer: YES"
14424,27286,Methylene blue,galactosemia,disease-phenotype-protein-drug,contraindication,"['galactosemia', 'Hepatomegaly', 'CYP1A2', 'Methylene blue']","Question: Is galactosemia an indication for Methylene blue?
Reasoning: The disease galactosemia is associated with the phenotype Hepatomegaly, which in turn affects the gene CYP1A2. This gene is not targeted by the drug Methylene blue. These connections suggest that Methylene blue may not be effective in treating galactosemia.
Answer: NO"
15104,27292,Dextromethorphan,glycogen storage disease,disease-phenotype-protein-drug,contraindication,"['glycogen storage disease', 'Seizure', 'CHRNA7', 'Dextromethorphan']","Question: Is glycogen storage disease an indication for Dextromethorphan?
Reasoning: The disease glycogen storage disease is associated with the phenotype Seizure, which in turn affects the gene CHRNA7. This gene is not targeted by the drug Dextromethorphan. These connections suggest that Dextromethorphan may not be effective in treating glycogen storage disease.
Answer: NO"
14156,28396,Amitriptyline,multiple system atrophy,disease-phenotype-protein-drug,contraindication,"['multiple system atrophy', 'Resting tremor', 'CHRM4', 'Amitriptyline']","Question: Is multiple system atrophy an indication for Amitriptyline?
Reasoning: The disease multiple system atrophy is associated with the phenotype Resting tremor, which in turn affects the gene CHRM4. This gene is not targeted by the drug Amitriptyline. These connections suggest that Amitriptyline may not be effective in treating multiple system atrophy.
Answer: NO"
14884,36149,Phenelzine,heart cancer,disease-protein-drug,contraindication,"['heart cancer', 'MAOB', 'Phenelzine']","Question: Is heart cancer an indication for Phenelzine?
Reasoning: The disease heart cancer is associated with the gene MAOB, which is not targeted by the drug Phenelzine. These connections suggest that Phenelzine may not be effective in treating heart cancer.
Answer: NO"
15193,30093,Rotigotine,parkinsonian-pyramidal syndrome,disease-protein-drug,indication,"['parkinsonian-pyramidal syndrome', 'DRD1', 'Rotigotine']","Question: Is parkinsonian-pyramidal syndrome an indication for Rotigotine?
Reasoning: The disease parkinsonian-pyramidal syndrome is associated with the gene DRD1, which is targeted by the drug Rotigotine. These connections suggest that Rotigotine may be effective in treating parkinsonian-pyramidal syndrome.
Answer: YES"
15517,83760,Prazepam,dysthymic disorder,disease-protein-drug,contraindication,"['dysthymic disorder', 'GABRB3', 'Prazepam']","Question: Is dysthymic disorder an indication for Prazepam?
Reasoning: The disease dysthymic disorder is associated with the gene GABRB3, which is not targeted by the drug Prazepam. These connections suggest that Prazepam may not be effective in treating dysthymic disorder.
Answer: NO"
14560,27647,Ergocalciferol,hypoparathyroidism,disease-phenotype-protein-drug,indication,"['hypoparathyroidism', 'Seizure', 'CYP11A1', 'Ergocalciferol']","Question: Is hypoparathyroidism an indication for Ergocalciferol?
Reasoning: The disease hypoparathyroidism is associated with the phenotype Seizure, which in turn affects the gene CYP11A1. This gene is targeted by the drug Ergocalciferol. These connections suggest that Ergocalciferol may be effective in treating hypoparathyroidism.
Answer: YES"
14981,83751,Buprenorphine,torsades de pointes,disease-protein-drug,contraindication,"['torsades de pointes', 'CYP3A4', 'Buprenorphine']","Question: Is torsades de pointes an indication for Buprenorphine?
Reasoning: The disease torsades de pointes is associated with the gene CYP3A4, which is not targeted by the drug Buprenorphine. These connections suggest that Buprenorphine may not be effective in treating torsades de pointes.
Answer: NO"
