drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,prefix
14691,33534,Amiloride,pediatric systemic lupus erythematosus,disease-phenotype-protein-drug,contraindication,"['pediatric systemic lupus erythematosus', 'Edema', 'SLC9A1', 'Amiloride']","Question: Is pediatric systemic lupus erythematosus an indication for Amiloride?
Answer: NO"
14156,32977,Amitriptyline,inherited porphyria,disease-phenotype-protein-drug,contraindication,"['inherited porphyria', 'Pruritus', 'HRH4', 'Amitriptyline']","Question: Is inherited porphyria an indication for Amitriptyline?
Answer: NO"
14150,31493,Morphine,pancreatitis,disease-protein-drug,contraindication,"['pancreatitis', 'ALB', 'Morphine']","Question: Is pancreatitis an indication for Morphine?
Answer: NO"
15099,27933,Zolpidem,anxiety disorder,disease-protein-drug,contraindication,"['anxiety disorder', 'GABRA3', 'Zolpidem']","Question: Is anxiety disorder an indication for Zolpidem?
Answer: NO"
15493,28974,Bromocriptine,early-onset parkinsonism-intellectual disability syndrome,disease-phenotype-protein-drug,indication,"['early-onset parkinsonism-intellectual disability syndrome', 'Seizure', 'ADRA1B', 'Bromocriptine']","Question: Is early-onset parkinsonism-intellectual disability syndrome an indication for Bromocriptine?
Answer: YES"
14783,32313,Caffeine,Haddad syndrome,disease-phenotype-protein-drug,contraindication,"['Haddad syndrome', 'Seizure', 'ADORA2A', 'Caffeine']","Question: Is Haddad syndrome an indication for Caffeine?
Answer: NO"
14275,84160,Doxorubicin,primary mediastinal large B-cell lymphoma,disease-protein-drug,indication,"['primary mediastinal large B-cell lymphoma', 'ABCG2', 'Doxorubicin']","Question: Is primary mediastinal large B-cell lymphoma an indication for Doxorubicin?
Answer: YES"
14424,27286,Methylene blue,galactosemia,disease-phenotype-protein-drug,contraindication,"['galactosemia', 'Hepatomegaly', 'CYP1A2', 'Methylene blue']","Question: Is galactosemia an indication for Methylene blue?
Answer: NO"
15104,27292,Dextromethorphan,glycogen storage disease,disease-phenotype-protein-drug,contraindication,"['glycogen storage disease', 'Seizure', 'CHRNA7', 'Dextromethorphan']","Question: Is glycogen storage disease an indication for Dextromethorphan?
Answer: NO"
14156,28396,Amitriptyline,multiple system atrophy,disease-phenotype-protein-drug,contraindication,"['multiple system atrophy', 'Resting tremor', 'CHRM4', 'Amitriptyline']","Question: Is multiple system atrophy an indication for Amitriptyline?
Answer: NO"
14884,36149,Phenelzine,heart cancer,disease-protein-drug,contraindication,"['heart cancer', 'MAOB', 'Phenelzine']","Question: Is heart cancer an indication for Phenelzine?
Answer: NO"
15193,30093,Rotigotine,parkinsonian-pyramidal syndrome,disease-protein-drug,indication,"['parkinsonian-pyramidal syndrome', 'DRD1', 'Rotigotine']","Question: Is parkinsonian-pyramidal syndrome an indication for Rotigotine?
Answer: YES"
15517,83760,Prazepam,dysthymic disorder,disease-protein-drug,contraindication,"['dysthymic disorder', 'GABRB3', 'Prazepam']","Question: Is dysthymic disorder an indication for Prazepam?
Answer: NO"
14560,27647,Ergocalciferol,hypoparathyroidism,disease-phenotype-protein-drug,indication,"['hypoparathyroidism', 'Seizure', 'CYP11A1', 'Ergocalciferol']","Question: Is hypoparathyroidism an indication for Ergocalciferol?
Answer: YES"
14981,83751,Buprenorphine,torsades de pointes,disease-protein-drug,contraindication,"['torsades de pointes', 'CYP3A4', 'Buprenorphine']","Question: Is torsades de pointes an indication for Buprenorphine?
Answer: NO"
14807,28547,Epinephrine,Parkinson disease,disease-phenotype-protein-drug,contraindication,"['Parkinson disease', 'Nausea', 'TNF', 'Epinephrine']","Question: Is Parkinson disease an indication for Epinephrine?
Answer: NO"
16690,35958,Lisinopril,hemoglobinopathy,disease-protein-drug,indication,"['hemoglobinopathy', 'ACE', 'Lisinopril']","Question: Is hemoglobinopathy an indication for Lisinopril?
Answer: YES"
14321,33594,Levodopa,diarrheal disease,disease-protein-drug,contraindication,"['diarrheal disease', 'CD14', 'Levodopa']","Question: Is diarrheal disease an indication for Levodopa?
Answer: NO"
14235,29646,Estradiol,hepatocellular carcinoma,disease-phenotype-protein-drug,contraindication,"['hepatocellular carcinoma', 'Hepatomegaly', 'NR1I2', 'Estradiol']","Question: Is hepatocellular carcinoma an indication for Estradiol?
Answer: NO"
14317,36286,Captopril,diabetic nephropathy,disease-protein-drug,indication,"['diabetic nephropathy', 'ACE', 'Captopril']","Question: Is diabetic nephropathy an indication for Captopril?
Answer: YES"
14509,29078,Meclofenamic acid,rheumatoid arthritis,disease-protein-drug,indication,"['rheumatoid arthritis', 'PTGS1', 'Meclofenamic acid']","Question: Is rheumatoid arthritis an indication for Meclofenamic acid?
Answer: YES"
15836,38059,Telmisartan,cholestasis,disease-protein-drug,contraindication,"['cholestasis', 'ABCC2', 'Telmisartan']","Question: Is cholestasis an indication for Telmisartan?
Answer: NO"
14207,28542,Imatinib,mastocytosis,disease-phenotype-protein-drug,indication,"['mastocytosis', 'Splenomegaly', 'CYP1A2', 'Imatinib']","Question: Is mastocytosis an indication for Imatinib?
Answer: YES"
14189,37703,Nortriptyline,neurotic disorder,disease-protein-drug,indication,"['neurotic disorder', 'CYP2D6', 'Nortriptyline']","Question: Is neurotic disorder an indication for Nortriptyline?
Answer: YES"
15006,83998,Iloperidone,lingual-facial-buccal dyskinesia,disease-protein-drug,contraindication,"['lingual-facial-buccal dyskinesia', 'DRD2', 'Iloperidone']","Question: Is lingual-facial-buccal dyskinesia an indication for Iloperidone?
Answer: NO"
14275,33621,Doxorubicin,acute lymphoblastic leukemia (disease),disease-protein-drug,indication,"['acute lymphoblastic leukemia (disease)', 'CYP1B1', 'Doxorubicin']","Question: Is acute lymphoblastic leukemia (disease) an indication for Doxorubicin?
Answer: YES"
17437,35895,Metyrosine,small intestine cancer,disease-protein-drug,indication,"['small intestine cancer', 'TH', 'Metyrosine']","Question: Is small intestine cancer an indication for Metyrosine?
Answer: YES"
14368,83751,Dronedarone,torsades de pointes,disease-protein-drug,contraindication,"['torsades de pointes', 'SCN5A', 'Dronedarone']","Question: Is torsades de pointes an indication for Dronedarone?
Answer: NO"
15100,28547,Prochlorperazine,Parkinson disease,disease-phenotype-protein-drug,contraindication,"['Parkinson disease', 'Tremor', 'CYP2D6', 'Prochlorperazine']","Question: Is Parkinson disease an indication for Prochlorperazine?
Answer: NO"
14176,35641,Fluoxetine,epilepsy,disease-protein-drug,contraindication,"['epilepsy', 'ALB', 'Fluoxetine']","Question: Is epilepsy an indication for Fluoxetine?
Answer: NO"
20290,35583,"Sodium phosphate, monobasic",phosphorus metabolism disease,disease-protein-drug,contraindication,"['phosphorus metabolism disease', 'SLC34A1', 'Sodium phosphate, monobasic']","Question: Is phosphorus metabolism disease an indication for Sodium phosphate, monobasic?
Answer: NO"
14945,36229,Sorafenib,agranulocytosis,disease-protein-drug,contraindication,"['agranulocytosis', 'UGT1A1', 'Sorafenib']","Question: Is agranulocytosis an indication for Sorafenib?
Answer: NO"
14968,30664,Modafinil,X-linked adrenoleukodystrophy,disease-phenotype-protein-drug,indication,"['X-linked adrenoleukodystrophy', 'Seizure', 'ADRA1B', 'Modafinil']","Question: Is X-linked adrenoleukodystrophy an indication for Modafinil?
Answer: YES"
15116,83840,Paroxetine,unipolar depression,disease-protein-drug,indication,"['unipolar depression', 'CYP2C9', 'Paroxetine']","Question: Is unipolar depression an indication for Paroxetine?
Answer: YES"
14161,28651,Olanzapine,monogenic obesity,disease-protein-drug,contraindication,"['monogenic obesity', 'HTR2A', 'Olanzapine']","Question: Is monogenic obesity an indication for Olanzapine?
Answer: NO"
14156,35641,Amitriptyline,epilepsy,disease-protein-drug,contraindication,"['epilepsy', 'OPRD1', 'Amitriptyline']","Question: Is epilepsy an indication for Amitriptyline?
Answer: NO"
14220,35915,Apomorphine,mental disorder,disease-protein-drug,contraindication,"['mental disorder', 'HTR2A', 'Apomorphine']","Question: Is mental disorder an indication for Apomorphine?
Answer: NO"
14189,37703,Nortriptyline,neurotic disorder,disease-protein-drug,indication,"['neurotic disorder', 'SLC6A4', 'Nortriptyline']","Question: Is neurotic disorder an indication for Nortriptyline?
Answer: YES"
14140,28313,Ziprasidone,schizophrenia,disease-protein-drug,indication,"['schizophrenia', 'DRD4', 'Ziprasidone']","Question: Is schizophrenia an indication for Ziprasidone?
Answer: YES"
18036,33575,Bacitracin,diabetes mellitus (disease),disease-protein-drug,contraindication,"['diabetes mellitus (disease)', 'MIR1908', 'Bacitracin']","Question: Is diabetes mellitus (disease) an indication for Bacitracin?
Answer: NO"
14543,35641,Desipramine,epilepsy,disease-protein-drug,contraindication,"['epilepsy', 'HTR1A', 'Desipramine']","Question: Is epilepsy an indication for Desipramine?
Answer: NO"
14207,39498,Imatinib,systemic mastocytosis,disease-protein-drug,indication,"['systemic mastocytosis', 'KIT', 'Imatinib']","Question: Is systemic mastocytosis an indication for Imatinib?
Answer: YES"
15138,35895,Selegiline,small intestine cancer,disease-protein-drug,contraindication,"['small intestine cancer', 'MAOA', 'Selegiline']","Question: Is small intestine cancer an indication for Selegiline?
Answer: NO"
15209,38242,Vilazodone,bipolar disorder,disease-protein-drug,contraindication,"['bipolar disorder', 'SLC6A4', 'Vilazodone']","Question: Is bipolar disorder an indication for Vilazodone?
Answer: NO"
14794,35958,Dasatinib,hemoglobinopathy,disease-protein-drug,contraindication,"['hemoglobinopathy', 'ATM', 'Dasatinib']","Question: Is hemoglobinopathy an indication for Dasatinib?
Answer: NO"
19207,28974,Carbidopa,early-onset parkinsonism-intellectual disability syndrome,disease-protein-drug,indication,"['early-onset parkinsonism-intellectual disability syndrome', 'DDC', 'Carbidopa']","Question: Is early-onset parkinsonism-intellectual disability syndrome an indication for Carbidopa?
Answer: YES"
14540,37703,Amoxapine,neurotic disorder,disease-protein-drug,indication,"['neurotic disorder', 'HTR3A', 'Amoxapine']","Question: Is neurotic disorder an indication for Amoxapine?
Answer: YES"
14792,83817,Paclitaxel,hereditary site-specific ovarian cancer syndrome,disease-protein-drug,indication,"['hereditary site-specific ovarian cancer syndrome', 'CYP1B1', 'Paclitaxel']","Question: Is hereditary site-specific ovarian cancer syndrome an indication for Paclitaxel?
Answer: YES"
14176,29494,Fluoxetine,autosomal recessive severe congenital neutropenia due to G6PC3 deficiency,disease-phenotype-protein-drug,contraindication,"['autosomal recessive severe congenital neutropenia due to G6PC3 deficiency', 'Growth delay', 'STAG2', 'Fluoxetine']","Question: Is autosomal recessive severe congenital neutropenia due to G6PC3 deficiency an indication for Fluoxetine?
Answer: NO"
14194,31481,Methotrexate,bone osteosarcoma,disease-protein-drug,indication,"['bone osteosarcoma', 'CYP3A4', 'Methotrexate']","Question: Is bone osteosarcoma an indication for Methotrexate?
Answer: YES"
14540,83760,Amoxapine,dysthymic disorder,disease-protein-drug,indication,"['dysthymic disorder', 'HTR1A', 'Amoxapine']","Question: Is dysthymic disorder an indication for Amoxapine?
Answer: YES"
15424,29637,Cabergoline,prolactin producing pituitary gland tumor,disease-phenotype-protein-drug,indication,"['prolactin producing pituitary gland tumor', 'Seizure', 'ADRA1B', 'Cabergoline']","Question: Is prolactin producing pituitary gland tumor an indication for Cabergoline?
Answer: YES"
14208,39202,Testosterone,non-acquired combined pituitary hormone deficiency,disease-protein-drug,indication,"['non-acquired combined pituitary hormone deficiency', 'CYP19A1', 'Testosterone']","Question: Is non-acquired combined pituitary hormone deficiency an indication for Testosterone?
Answer: YES"
14024,83789,Prednisone,serum sickness,disease-protein-drug,indication,"['serum sickness', 'ALB', 'Prednisone']","Question: Is serum sickness an indication for Prednisone?
Answer: YES"
16056,28974,Procyclidine,early-onset parkinsonism-intellectual disability syndrome,disease-phenotype-protein-drug,indication,"['early-onset parkinsonism-intellectual disability syndrome', 'Seizure', 'CHRM1', 'Procyclidine']","Question: Is early-onset parkinsonism-intellectual disability syndrome an indication for Procyclidine?
Answer: YES"
14830,32468,Amantadine,postencephalitic Parkinson disease,disease-phenotype-protein-drug,indication,"['postencephalitic Parkinson disease', 'Oculogyric crisis', 'DDC', 'Amantadine']","Question: Is postencephalitic Parkinson disease an indication for Amantadine?
Answer: YES"
15778,27219,Tolazamide,hypogonadotropic hypogonadism with or without anosmia,disease-phenotype-protein-drug,contraindication,"['hypogonadotropic hypogonadism with or without anosmia', 'Hearing impairment', 'CRYM', 'Tolazamide']","Question: Is hypogonadotropic hypogonadism with or without anosmia an indication for Tolazamide?
Answer: NO"
14156,30035,Amitriptyline,substance abuse/dependence,disease-protein-drug,contraindication,"['substance abuse/dependence', 'HTR2C', 'Amitriptyline']","Question: Is substance abuse/dependence an indication for Amitriptyline?
Answer: NO"
18036,33575,Bacitracin,diabetes mellitus (disease),disease-protein-drug,contraindication,"['diabetes mellitus (disease)', 'MIR335', 'Bacitracin']","Question: Is diabetes mellitus (disease) an indication for Bacitracin?
Answer: NO"
15116,38957,Paroxetine,major depressive disorder,disease-protein-drug,indication,"['major depressive disorder', 'DRD2', 'Paroxetine']","Question: Is major depressive disorder an indication for Paroxetine?
Answer: YES"
14183,29078,Tolmetin,rheumatoid arthritis,disease-protein-drug,indication,"['rheumatoid arthritis', 'PTGS1', 'Tolmetin']","Question: Is rheumatoid arthritis an indication for Tolmetin?
Answer: YES"
17315,28249,Dexmethylphenidate,major affective disorder,disease-protein-drug,contraindication,"['major affective disorder', 'SLC6A3', 'Dexmethylphenidate']","Question: Is major affective disorder an indication for Dexmethylphenidate?
Answer: NO"
14830,32468,Amantadine,postencephalitic Parkinson disease,disease-phenotype-protein-drug,indication,"['postencephalitic Parkinson disease', 'Seizure', 'DRD2', 'Amantadine']","Question: Is postencephalitic Parkinson disease an indication for Amantadine?
Answer: YES"
15124,38003,Biperiden,basal ganglia disease,disease-protein-drug,indication,"['basal ganglia disease', 'CYP2D6', 'Biperiden']","Question: Is basal ganglia disease an indication for Biperiden?
Answer: YES"
14320,32719,Dexamethasone,congenital hypothyroidism,disease-phenotype-protein-drug,contraindication,"['congenital hypothyroidism', 'Prolonged neonatal jaundice', 'NR1I2', 'Dexamethasone']","Question: Is congenital hypothyroidism an indication for Dexamethasone?
Answer: NO"
14310,27655,Doxepin,familial long QT syndrome,disease-phenotype-protein-drug,contraindication,"['familial long QT syndrome', 'Seizure', 'HTR1A', 'Doxepin']","Question: Is familial long QT syndrome an indication for Doxepin?
Answer: NO"
15138,35894,Selegiline,duodenum cancer,disease-protein-drug,contraindication,"['duodenum cancer', 'MAOB', 'Selegiline']","Question: Is duodenum cancer an indication for Selegiline?
Answer: NO"
14157,30035,Hydromorphone,substance abuse/dependence,disease-protein-drug,contraindication,"['substance abuse/dependence', 'OPRK1', 'Hydromorphone']","Question: Is substance abuse/dependence an indication for Hydromorphone?
Answer: NO"
14875,32617,Tretamine,hereditary breast ovarian cancer syndrome,disease-protein-drug,indication,"['hereditary breast ovarian cancer syndrome', 'BCHE', 'Tretamine']","Question: Is hereditary breast ovarian cancer syndrome an indication for Tretamine?
Answer: YES"
14323,37717,Aripiprazole,autism spectrum disorder,disease-protein-drug,indication,"['autism spectrum disorder', 'DRD1', 'Aripiprazole']","Question: Is autism spectrum disorder an indication for Aripiprazole?
Answer: YES"
20394,27286,Sulfabenzamide,galactosemia,disease-protein-drug,contraindication,"['galactosemia', 'GALT', 'Sulfabenzamide']","Question: Is galactosemia an indication for Sulfabenzamide?
Answer: NO"
15209,27933,Vilazodone,anxiety disorder,disease-protein-drug,indication,"['anxiety disorder', 'CYP2C19', 'Vilazodone']","Question: Is anxiety disorder an indication for Vilazodone?
Answer: YES"
15458,28017,Ergotamine,"migraine with or without aura, susceptibility to",disease-phenotype-protein-drug,indication,"['migraine with or without aura, susceptibility to', 'Nausea', 'ABCB1', 'Ergotamine']","Question: Is migraine with or without aura, susceptibility to an indication for Ergotamine?
Answer: YES"
