gene_index,disease_index,drug_index,drug_name,drug_type,disease_name,disease_type,gene_name,gene_type
2401,28313,15538,Fluspirilene,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,15006,Iloperidone,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,15194,Cariprazine,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,14633,Lumateperone,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,15196,Sertindole,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,14380,Asenapine,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,15590,Lurasidone,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,15223,Perospirone,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,15232,Brexpiprazole,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,14420,Blonanserin,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,DRD2,gene/protein
8832,28313,14140,Ziprasidone,drug,schizophrenia,disease,DRD3,gene/protein
8832,28313,14161,Olanzapine,drug,schizophrenia,disease,DRD3,gene/protein
8832,28313,14839,Sulpiride,drug,schizophrenia,disease,DRD3,gene/protein
8832,28313,16011,Loxapine,drug,schizophrenia,disease,DRD3,gene/protein
8832,28313,14178,Chlorpromazine,drug,schizophrenia,disease,DRD3,gene/protein
8832,28313,14952,Haloperidol,drug,schizophrenia,disease,DRD3,gene/protein
8832,28313,14999,Quetiapine,drug,schizophrenia,disease,DRD3,gene/protein
8832,28313,14323,Aripiprazole,drug,schizophrenia,disease,DRD3,gene/protein
8832,28313,16014,Chlorprothixene,drug,schizophrenia,disease,DRD3,gene/protein
8832,28313,15001,Paliperidone,drug,schizophrenia,disease,DRD3,gene/protein
8832,28313,15006,Iloperidone,drug,schizophrenia,disease,DRD3,gene/protein
8832,28313,15194,Cariprazine,drug,schizophrenia,disease,DRD3,gene/protein
8832,28313,14380,Asenapine,drug,schizophrenia,disease,DRD3,gene/protein
8832,28313,14420,Blonanserin,drug,schizophrenia,disease,DRD3,gene/protein
8832,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,DRD3,gene/protein
8999,28313,14140,Ziprasidone,drug,schizophrenia,disease,DRD4,gene/protein
8999,28313,14161,Olanzapine,drug,schizophrenia,disease,DRD4,gene/protein
8999,28313,16011,Loxapine,drug,schizophrenia,disease,DRD4,gene/protein
8999,28313,14178,Chlorpromazine,drug,schizophrenia,disease,DRD4,gene/protein
8999,28313,14999,Quetiapine,drug,schizophrenia,disease,DRD4,gene/protein
8999,28313,14323,Aripiprazole,drug,schizophrenia,disease,DRD4,gene/protein
8999,28313,15001,Paliperidone,drug,schizophrenia,disease,DRD4,gene/protein
8999,28313,15006,Iloperidone,drug,schizophrenia,disease,DRD4,gene/protein
8999,28313,14380,Asenapine,drug,schizophrenia,disease,DRD4,gene/protein
8999,28313,15223,Perospirone,drug,schizophrenia,disease,DRD4,gene/protein
8999,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,DRD4,gene/protein
6808,28313,14161,Olanzapine,drug,schizophrenia,disease,GABRA1,gene/protein
7615,28313,14161,Olanzapine,drug,schizophrenia,disease,GABRA5,gene/protein
526,28313,14161,Olanzapine,drug,schizophrenia,disease,GABRG2,gene/protein
10257,28313,14952,Haloperidol,drug,schizophrenia,disease,MCHR1,gene/protein
10093,28313,14323,Aripiprazole,drug,schizophrenia,disease,GRIN2A,gene/protein
2452,28313,14952,Haloperidol,drug,schizophrenia,disease,GRIN2B,gene/protein
2452,28313,14633,Lumateperone,drug,schizophrenia,disease,GRIN2B,gene/protein
2452,28313,14323,Aripiprazole,drug,schizophrenia,disease,GRIN2B,gene/protein
9379,28313,14323,Aripiprazole,drug,schizophrenia,disease,GRIN2C,gene/protein
10459,28313,14323,Aripiprazole,drug,schizophrenia,disease,GRIN2D,gene/protein
8354,28313,14140,Ziprasidone,drug,schizophrenia,disease,HRH1,gene/protein
8354,28313,14161,Olanzapine,drug,schizophrenia,disease,HRH1,gene/protein
8354,28313,16011,Loxapine,drug,schizophrenia,disease,HRH1,gene/protein
8354,28313,15098,Promazine,drug,schizophrenia,disease,HRH1,gene/protein
8354,28313,15100,Prochlorperazine,drug,schizophrenia,disease,HRH1,gene/protein
8354,28313,14178,Chlorpromazine,drug,schizophrenia,disease,HRH1,gene/protein
8354,28313,14952,Haloperidol,drug,schizophrenia,disease,HRH1,gene/protein
8354,28313,14223,Risperidone,drug,schizophrenia,disease,HRH1,gene/protein
8354,28313,14999,Quetiapine,drug,schizophrenia,disease,HRH1,gene/protein
8354,28313,14323,Aripiprazole,drug,schizophrenia,disease,HRH1,gene/protein
8354,28313,16014,Chlorprothixene,drug,schizophrenia,disease,HRH1,gene/protein
8354,28313,15001,Paliperidone,drug,schizophrenia,disease,HRH1,gene/protein
8354,28313,15177,Zuclopenthixol,drug,schizophrenia,disease,HRH1,gene/protein
8354,28313,15006,Iloperidone,drug,schizophrenia,disease,HRH1,gene/protein
8354,28313,15194,Cariprazine,drug,schizophrenia,disease,HRH1,gene/protein
8354,28313,14380,Asenapine,drug,schizophrenia,disease,HRH1,gene/protein
8354,28313,15223,Perospirone,drug,schizophrenia,disease,HRH1,gene/protein
8354,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,HRH1,gene/protein
9679,28313,14140,Ziprasidone,drug,schizophrenia,disease,HTR1A,gene/protein
9679,28313,16011,Loxapine,drug,schizophrenia,disease,HTR1A,gene/protein
9679,28313,14178,Chlorpromazine,drug,schizophrenia,disease,HTR1A,gene/protein
9679,28313,14952,Haloperidol,drug,schizophrenia,disease,HTR1A,gene/protein
9679,28313,14223,Risperidone,drug,schizophrenia,disease,HTR1A,gene/protein
9679,28313,14999,Quetiapine,drug,schizophrenia,disease,HTR1A,gene/protein
9679,28313,14323,Aripiprazole,drug,schizophrenia,disease,HTR1A,gene/protein
9679,28313,15001,Paliperidone,drug,schizophrenia,disease,HTR1A,gene/protein
9679,28313,16317,Molindone,drug,schizophrenia,disease,HTR1A,gene/protein
9679,28313,15006,Iloperidone,drug,schizophrenia,disease,HTR1A,gene/protein
9679,28313,15194,Cariprazine,drug,schizophrenia,disease,HTR1A,gene/protein
9679,28313,14380,Asenapine,drug,schizophrenia,disease,HTR1A,gene/protein
9679,28313,15590,Lurasidone,drug,schizophrenia,disease,HTR1A,gene/protein
9679,28313,15223,Perospirone,drug,schizophrenia,disease,HTR1A,gene/protein
9679,28313,15232,Brexpiprazole,drug,schizophrenia,disease,HTR1A,gene/protein
9679,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,HTR1A,gene/protein
9679,28313,16014,Chlorprothixene,drug,schizophrenia,disease,HTR1A,gene/protein
9679,28313,14161,Olanzapine,drug,schizophrenia,disease,HTR1A,gene/protein
33772,28313,16014,Chlorprothixene,drug,schizophrenia,disease,HTR1F,gene/protein
33772,28313,14161,Olanzapine,drug,schizophrenia,disease,HTR1F,gene/protein
3417,28313,14140,Ziprasidone,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,14161,Olanzapine,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,16011,Loxapine,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,15098,Promazine,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,14178,Chlorpromazine,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,14952,Haloperidol,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,15110,Fluphenazine,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,14223,Risperidone,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,14829,Flupentixol,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,15131,Mesoridazine,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,14999,Quetiapine,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,14323,Aripiprazole,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,16014,Chlorprothixene,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,15001,Paliperidone,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,16317,Molindone,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,14351,Thiothixene,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,15177,Zuclopenthixol,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,15538,Fluspirilene,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,15006,Iloperidone,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,15194,Cariprazine,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,14633,Lumateperone,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,15196,Sertindole,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,14380,Asenapine,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,15590,Lurasidone,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,15223,Perospirone,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,15232,Brexpiprazole,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,14420,Blonanserin,drug,schizophrenia,disease,HTR2A,gene/protein
3417,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,HTR2A,gene/protein
864,28313,14140,Ziprasidone,drug,schizophrenia,disease,HTR2C,gene/protein
864,28313,14161,Olanzapine,drug,schizophrenia,disease,HTR2C,gene/protein
864,28313,16011,Loxapine,drug,schizophrenia,disease,HTR2C,gene/protein
864,28313,15098,Promazine,drug,schizophrenia,disease,HTR2C,gene/protein
864,28313,14178,Chlorpromazine,drug,schizophrenia,disease,HTR2C,gene/protein
864,28313,14952,Haloperidol,drug,schizophrenia,disease,HTR2C,gene/protein
864,28313,15110,Fluphenazine,drug,schizophrenia,disease,HTR2C,gene/protein
864,28313,14223,Risperidone,drug,schizophrenia,disease,HTR2C,gene/protein
864,28313,14999,Quetiapine,drug,schizophrenia,disease,HTR2C,gene/protein
864,28313,14323,Aripiprazole,drug,schizophrenia,disease,HTR2C,gene/protein
864,28313,15001,Paliperidone,drug,schizophrenia,disease,HTR2C,gene/protein
864,28313,15196,Sertindole,drug,schizophrenia,disease,HTR2C,gene/protein
864,28313,14380,Asenapine,drug,schizophrenia,disease,HTR2C,gene/protein
864,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,HTR2C,gene/protein
864,28313,16014,Chlorprothixene,drug,schizophrenia,disease,HTR2C,gene/protein
3466,28313,14161,Olanzapine,drug,schizophrenia,disease,HTR3A,gene/protein
3466,28313,16011,Loxapine,drug,schizophrenia,disease,HTR3A,gene/protein
3466,28313,14999,Quetiapine,drug,schizophrenia,disease,HTR3A,gene/protein
3466,28313,14323,Aripiprazole,drug,schizophrenia,disease,HTR3A,gene/protein
3466,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,HTR3A,gene/protein
3466,28313,16014,Chlorprothixene,drug,schizophrenia,disease,HTR3A,gene/protein
3466,28313,14140,Ziprasidone,drug,schizophrenia,disease,HTR3A,gene/protein
1810,28313,16014,Chlorprothixene,drug,schizophrenia,disease,HTR4,gene/protein
12364,28313,14140,Ziprasidone,drug,schizophrenia,disease,HTR5A,gene/protein
12364,28313,16011,Loxapine,drug,schizophrenia,disease,HTR5A,gene/protein
12364,28313,14323,Aripiprazole,drug,schizophrenia,disease,HTR5A,gene/protein
12364,28313,14380,Asenapine,drug,schizophrenia,disease,HTR5A,gene/protein
5909,28313,14140,Ziprasidone,drug,schizophrenia,disease,HTR6,gene/protein
5909,28313,14161,Olanzapine,drug,schizophrenia,disease,HTR6,gene/protein
5909,28313,16011,Loxapine,drug,schizophrenia,disease,HTR6,gene/protein
5909,28313,14178,Chlorpromazine,drug,schizophrenia,disease,HTR6,gene/protein
5909,28313,14952,Haloperidol,drug,schizophrenia,disease,HTR6,gene/protein
5909,28313,14999,Quetiapine,drug,schizophrenia,disease,HTR6,gene/protein
5909,28313,14323,Aripiprazole,drug,schizophrenia,disease,HTR6,gene/protein
5909,28313,15006,Iloperidone,drug,schizophrenia,disease,HTR6,gene/protein
5909,28313,15196,Sertindole,drug,schizophrenia,disease,HTR6,gene/protein
5909,28313,14380,Asenapine,drug,schizophrenia,disease,HTR6,gene/protein
5909,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,HTR6,gene/protein
5909,28313,16014,Chlorprothixene,drug,schizophrenia,disease,HTR6,gene/protein
12236,28313,14140,Ziprasidone,drug,schizophrenia,disease,HTR7,gene/protein
12236,28313,16011,Loxapine,drug,schizophrenia,disease,HTR7,gene/protein
12236,28313,14178,Chlorpromazine,drug,schizophrenia,disease,HTR7,gene/protein
12236,28313,14952,Haloperidol,drug,schizophrenia,disease,HTR7,gene/protein
12236,28313,14223,Risperidone,drug,schizophrenia,disease,HTR7,gene/protein
12236,28313,14999,Quetiapine,drug,schizophrenia,disease,HTR7,gene/protein
12236,28313,14323,Aripiprazole,drug,schizophrenia,disease,HTR7,gene/protein
12236,28313,15001,Paliperidone,drug,schizophrenia,disease,HTR7,gene/protein
12236,28313,15006,Iloperidone,drug,schizophrenia,disease,HTR7,gene/protein
12236,28313,14380,Asenapine,drug,schizophrenia,disease,HTR7,gene/protein
12236,28313,15590,Lurasidone,drug,schizophrenia,disease,HTR7,gene/protein
12236,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,HTR7,gene/protein
12236,28313,16014,Chlorprothixene,drug,schizophrenia,disease,HTR7,gene/protein
4447,28313,14178,Chlorpromazine,drug,schizophrenia,disease,KCNH2,gene/protein
4447,28313,15196,Sertindole,drug,schizophrenia,disease,KCNH2,gene/protein
532,28313,14323,Aripiprazole,drug,schizophrenia,disease,OPRM1,gene/protein
4152,28313,14140,Ziprasidone,drug,schizophrenia,disease,ABCB1,gene/protein
4152,28313,14161,Olanzapine,drug,schizophrenia,disease,ABCB1,gene/protein
4152,28313,14178,Chlorpromazine,drug,schizophrenia,disease,ABCB1,gene/protein
