phenotype_index,disease_index,drug_index,drug_name,drug_type,disease_name,disease_type,phenotype_name,phenotype_type
22447,27933,15146,Nefazodone,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,14189,Nortriptyline,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,14161,Olanzapine,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,15116,Paroxetine,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,17305,Protriptyline,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,15138,Selegiline,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,14299,Sertraline,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,15119,Tranylcypromine,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,14962,Trazodone,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,15117,Trimipramine,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,15087,Venlafaxine,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,14177,Duloxetine,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,15083,Reboxetine,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,15360,Agomelatine,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,15211,Desvenlafaxine,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,17558,Pregabalin,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22676,28005,15782,Vigabatrin,drug,developmental and epileptic encephalopathy,disease,Hypertonia,effect/phenotype
22708,28005,15782,Vigabatrin,drug,developmental and epileptic encephalopathy,disease,Generalized myoclonic seizure,effect/phenotype
23096,28005,15782,Vigabatrin,drug,developmental and epileptic encephalopathy,disease,Dyskinesia,effect/phenotype
22680,28005,15782,Vigabatrin,drug,developmental and epileptic encephalopathy,disease,Spasticity,effect/phenotype
22675,28005,15782,Vigabatrin,drug,developmental and epileptic encephalopathy,disease,Intellectual disability,effect/phenotype
23157,28017,14238,Naproxen,drug,"migraine with or without aura, susceptibility to",disease,Vomiting,effect/phenotype
23157,28017,14154,Acetaminophen,drug,"migraine with or without aura, susceptibility to",disease,Vomiting,effect/phenotype
23157,28017,15781,Acetylsalicylic acid,drug,"migraine with or without aura, susceptibility to",disease,Vomiting,effect/phenotype
23157,28017,15431,Dihydroergotamine,drug,"migraine with or without aura, susceptibility to",disease,Vomiting,effect/phenotype
23157,28017,15458,Ergotamine,drug,"migraine with or without aura, susceptibility to",disease,Vomiting,effect/phenotype
23157,28017,15448,Lisuride,drug,"migraine with or without aura, susceptibility to",disease,Vomiting,effect/phenotype
23157,28017,14901,Naratriptan,drug,"migraine with or without aura, susceptibility to",disease,Vomiting,effect/phenotype
23157,28017,14993,Phenobarbital,drug,"migraine with or without aura, susceptibility to",disease,Vomiting,effect/phenotype
23157,28017,14902,Rizatriptan,drug,"migraine with or without aura, susceptibility to",disease,Vomiting,effect/phenotype
23157,28017,14600,Rofecoxib,drug,"migraine with or without aura, susceptibility to",disease,Vomiting,effect/phenotype
23157,28017,14899,Sumatriptan,drug,"migraine with or without aura, susceptibility to",disease,Vomiting,effect/phenotype
23157,28017,14897,Zolmitriptan,drug,"migraine with or without aura, susceptibility to",disease,Vomiting,effect/phenotype
23157,28017,15320,Frovatriptan,drug,"migraine with or without aura, susceptibility to",disease,Vomiting,effect/phenotype
23157,28017,14596,Eletriptan,drug,"migraine with or without aura, susceptibility to",disease,Vomiting,effect/phenotype
23157,28017,14900,Almotriptan,drug,"migraine with or without aura, susceptibility to",disease,Vomiting,effect/phenotype
84469,28017,15431,Dihydroergotamine,drug,"migraine with or without aura, susceptibility to",disease,Photophobia,effect/phenotype
84469,28017,14901,Naratriptan,drug,"migraine with or without aura, susceptibility to",disease,Photophobia,effect/phenotype
84469,28017,14902,Rizatriptan,drug,"migraine with or without aura, susceptibility to",disease,Photophobia,effect/phenotype
84469,28017,14899,Sumatriptan,drug,"migraine with or without aura, susceptibility to",disease,Photophobia,effect/phenotype
84469,28017,14897,Zolmitriptan,drug,"migraine with or without aura, susceptibility to",disease,Photophobia,effect/phenotype
84469,28017,14596,Eletriptan,drug,"migraine with or without aura, susceptibility to",disease,Photophobia,effect/phenotype
85077,28017,14901,Naratriptan,drug,"migraine with or without aura, susceptibility to",disease,Phonophobia,effect/phenotype
85077,28017,14899,Sumatriptan,drug,"migraine with or without aura, susceptibility to",disease,Phonophobia,effect/phenotype
84409,28017,14238,Naproxen,drug,"migraine with or without aura, susceptibility to",disease,Nausea,effect/phenotype
84409,28017,14154,Acetaminophen,drug,"migraine with or without aura, susceptibility to",disease,Nausea,effect/phenotype
84409,28017,15781,Acetylsalicylic acid,drug,"migraine with or without aura, susceptibility to",disease,Nausea,effect/phenotype
84409,28017,15431,Dihydroergotamine,drug,"migraine with or without aura, susceptibility to",disease,Nausea,effect/phenotype
84409,28017,15458,Ergotamine,drug,"migraine with or without aura, susceptibility to",disease,Nausea,effect/phenotype
84409,28017,14901,Naratriptan,drug,"migraine with or without aura, susceptibility to",disease,Nausea,effect/phenotype
84409,28017,14993,Phenobarbital,drug,"migraine with or without aura, susceptibility to",disease,Nausea,effect/phenotype
84409,28017,14902,Rizatriptan,drug,"migraine with or without aura, susceptibility to",disease,Nausea,effect/phenotype
84409,28017,14600,Rofecoxib,drug,"migraine with or without aura, susceptibility to",disease,Nausea,effect/phenotype
84409,28017,14899,Sumatriptan,drug,"migraine with or without aura, susceptibility to",disease,Nausea,effect/phenotype
84409,28017,14897,Zolmitriptan,drug,"migraine with or without aura, susceptibility to",disease,Nausea,effect/phenotype
84409,28017,15320,Frovatriptan,drug,"migraine with or without aura, susceptibility to",disease,Nausea,effect/phenotype
84409,28017,14596,Eletriptan,drug,"migraine with or without aura, susceptibility to",disease,Nausea,effect/phenotype
84409,28017,14900,Almotriptan,drug,"migraine with or without aura, susceptibility to",disease,Nausea,effect/phenotype
22998,27248,15308,Riluzole,drug,amyotrophic lateral sclerosis,disease,Gait disturbance,effect/phenotype
23000,28005,15782,Vigabatrin,drug,developmental and epileptic encephalopathy,disease,Seizure,effect/phenotype
22272,28005,15782,Vigabatrin,drug,developmental and epileptic encephalopathy,disease,Hypotonia,effect/phenotype
22272,28005,15231,Stiripentol,drug,developmental and epileptic encephalopathy,disease,Hypotonia,effect/phenotype
24444,28005,15782,Vigabatrin,drug,developmental and epileptic encephalopathy,disease,Optic atrophy,effect/phenotype
22291,28005,15782,Vigabatrin,drug,developmental and epileptic encephalopathy,disease,Low-set ears,effect/phenotype
22999,27248,15308,Riluzole,drug,amyotrophic lateral sclerosis,disease,Dysphagia,effect/phenotype
23135,27248,15308,Riluzole,drug,amyotrophic lateral sclerosis,disease,Dysarthria,effect/phenotype
23166,28158,14034,Budesonide,drug,inflammatory bowel disease,disease,Intestinal obstruction,effect/phenotype
23166,28158,15876,Mesalazine,drug,inflammatory bowel disease,disease,Intestinal obstruction,effect/phenotype
93278,28158,14034,Budesonide,drug,inflammatory bowel disease,disease,Crohn's disease,effect/phenotype
93278,28158,15876,Mesalazine,drug,inflammatory bowel disease,disease,Crohn's disease,effect/phenotype
22478,28158,14034,Budesonide,drug,inflammatory bowel disease,disease,Growth delay,effect/phenotype
22478,28158,14320,Dexamethasone,drug,inflammatory bowel disease,disease,Growth delay,effect/phenotype
22478,28158,14019,Betamethasone,drug,inflammatory bowel disease,disease,Growth delay,effect/phenotype
22478,28158,14028,Hydrocortisone,drug,inflammatory bowel disease,disease,Growth delay,effect/phenotype
22478,28158,14269,Methylprednisolone,drug,inflammatory bowel disease,disease,Growth delay,effect/phenotype
22478,28158,14024,Prednisone,drug,inflammatory bowel disease,disease,Growth delay,effect/phenotype
23158,28158,14034,Budesonide,drug,inflammatory bowel disease,disease,Abdominal pain,effect/phenotype
23158,28158,14320,Dexamethasone,drug,inflammatory bowel disease,disease,Abdominal pain,effect/phenotype
23158,28158,14019,Betamethasone,drug,inflammatory bowel disease,disease,Abdominal pain,effect/phenotype
23158,28158,14028,Hydrocortisone,drug,inflammatory bowel disease,disease,Abdominal pain,effect/phenotype
23158,28158,15876,Mesalazine,drug,inflammatory bowel disease,disease,Abdominal pain,effect/phenotype
23158,28158,14269,Methylprednisolone,drug,inflammatory bowel disease,disease,Abdominal pain,effect/phenotype
23158,28158,14024,Prednisone,drug,inflammatory bowel disease,disease,Abdominal pain,effect/phenotype
23158,28158,15438,Sulfadiazine,drug,inflammatory bowel disease,disease,Abdominal pain,effect/phenotype
23158,28158,15982,Sulfasalazine,drug,inflammatory bowel disease,disease,Abdominal pain,effect/phenotype
23158,28158,15985,Balsalazide,drug,inflammatory bowel disease,disease,Abdominal pain,effect/phenotype
23011,28052,14196,Propranolol,drug,hypertrophic cardiomyopathy,disease,Dyspnea,effect/phenotype
22859,28052,14196,Propranolol,drug,hypertrophic cardiomyopathy,disease,Congestive heart failure,effect/phenotype
23129,28005,15782,Vigabatrin,drug,developmental and epileptic encephalopathy,disease,Encephalopathy,effect/phenotype
26206,28005,15782,Vigabatrin,drug,developmental and epileptic encephalopathy,disease,Status epilepticus,effect/phenotype
23545,28005,15782,Vigabatrin,drug,developmental and epileptic encephalopathy,disease,Myoclonus,effect/phenotype
23764,27581,14595,Desmopressin,drug,von Willebrand disease,disease,Epistaxis,effect/phenotype
24326,28249,14544,Bupropion,drug,major affective disorder,disease,Mania,effect/phenotype
24326,28249,14999,Quetiapine,drug,major affective disorder,disease,Mania,effect/phenotype
25515,27219,14208,Testosterone,drug,hypogonadotropic hypogonadism with or without anosmia,disease,Azoospermia,effect/phenotype
23864,27452,14023,Triamcinolone,drug,Diamond-Blackfan anemia,disease,Respiratory distress,effect/phenotype
22478,27452,14320,Dexamethasone,drug,Diamond-Blackfan anemia,disease,Growth delay,effect/phenotype
22478,27452,14019,Betamethasone,drug,Diamond-Blackfan anemia,disease,Growth delay,effect/phenotype
22478,27452,14028,Hydrocortisone,drug,Diamond-Blackfan anemia,disease,Growth delay,effect/phenotype
22478,27452,14269,Methylprednisolone,drug,Diamond-Blackfan anemia,disease,Growth delay,effect/phenotype
22478,27452,14024,Prednisone,drug,Diamond-Blackfan anemia,disease,Growth delay,effect/phenotype
25201,28052,14196,Propranolol,drug,hypertrophic cardiomyopathy,disease,Vertigo,effect/phenotype
23113,28313,14952,Haloperidol,drug,schizophrenia,disease,Hallucinations,effect/phenotype
23113,28313,14161,Olanzapine,drug,schizophrenia,disease,Hallucinations,effect/phenotype
23113,28313,14999,Quetiapine,drug,schizophrenia,disease,Hallucinations,effect/phenotype
23113,28313,14323,Aripiprazole,drug,schizophrenia,disease,Hallucinations,effect/phenotype
25527,28313,14161,Olanzapine,drug,schizophrenia,disease,Delusions,effect/phenotype
25527,28313,14999,Quetiapine,drug,schizophrenia,disease,Delusions,effect/phenotype
25527,28313,14223,Risperidone,drug,schizophrenia,disease,Delusions,effect/phenotype
25527,28313,14323,Aripiprazole,drug,schizophrenia,disease,Delusions,effect/phenotype
22828,28052,14196,Propranolol,drug,hypertrophic cardiomyopathy,disease,Cardiac arrest,effect/phenotype
23488,28052,14196,Propranolol,drug,hypertrophic cardiomyopathy,disease,Myopathy,effect/phenotype
24461,27446,17286,Nitisinone,drug,tyrosinemia,disease,Abnormality of the skin,effect/phenotype
23157,28158,14034,Budesonide,drug,inflammatory bowel disease,disease,Vomiting,effect/phenotype
23157,28158,14320,Dexamethasone,drug,inflammatory bowel disease,disease,Vomiting,effect/phenotype
23157,28158,14019,Betamethasone,drug,inflammatory bowel disease,disease,Vomiting,effect/phenotype
23157,28158,14028,Hydrocortisone,drug,inflammatory bowel disease,disease,Vomiting,effect/phenotype
23157,28158,15876,Mesalazine,drug,inflammatory bowel disease,disease,Vomiting,effect/phenotype
23157,28158,14269,Methylprednisolone,drug,inflammatory bowel disease,disease,Vomiting,effect/phenotype
23157,28158,14024,Prednisone,drug,inflammatory bowel disease,disease,Vomiting,effect/phenotype
23157,28158,15438,Sulfadiazine,drug,inflammatory bowel disease,disease,Vomiting,effect/phenotype
23157,28158,14023,Triamcinolone,drug,inflammatory bowel disease,disease,Vomiting,effect/phenotype
23157,28158,15982,Sulfasalazine,drug,inflammatory bowel disease,disease,Vomiting,effect/phenotype
23157,28158,15985,Balsalazide,drug,inflammatory bowel disease,disease,Vomiting,effect/phenotype
84456,28374,14785,Omeprazole,drug,gastroesophageal reflux disease,disease,Gastroesophageal reflux,effect/phenotype
84456,28374,15462,Esomeprazole,drug,gastroesophageal reflux disease,disease,Gastroesophageal reflux,effect/phenotype
84456,28374,15420,Pantoprazole,drug,gastroesophageal reflux disease,disease,Gastroesophageal reflux,effect/phenotype
93465,28374,14786,Lansoprazole,drug,gastroesophageal reflux disease,disease,Barrett esophagus,effect/phenotype
93465,28374,14785,Omeprazole,drug,gastroesophageal reflux disease,disease,Barrett esophagus,effect/phenotype
93465,28374,15462,Esomeprazole,drug,gastroesophageal reflux disease,disease,Barrett esophagus,effect/phenotype
22953,27292,20239,Penicillamine,drug,glycogen storage disease,disease,Hypoglycemia,effect/phenotype
24475,27292,20239,Penicillamine,drug,glycogen storage disease,disease,Elevated hepatic transaminase,effect/phenotype
84853,28391,15074,Amphetamine,drug,narcolepsy,disease,Excessive daytime somnolence,effect/phenotype
84853,28391,15173,Dextroamphetamine,drug,narcolepsy,disease,Excessive daytime somnolence,effect/phenotype
84853,28391,16855,Methylphenidate,drug,narcolepsy,disease,Excessive daytime somnolence,effect/phenotype
84853,28391,14968,Modafinil,drug,narcolepsy,disease,Excessive daytime somnolence,effect/phenotype
84853,28391,14644,Sodium oxybate,drug,narcolepsy,disease,Excessive daytime somnolence,effect/phenotype
85175,28391,14968,Modafinil,drug,narcolepsy,disease,Cataplexy,effect/phenotype
85175,28391,14644,Sodium oxybate,drug,narcolepsy,disease,Cataplexy,effect/phenotype
22133,28407,14208,Testosterone,drug,hypogonadotropic hypogonadism,disease,Hypogonadism,effect/phenotype
26322,28414,14207,Imatinib,drug,idiopathic hypereosinophilic syndrome,disease,Eosinophilia,effect/phenotype
25945,28414,14207,Imatinib,drug,idiopathic hypereosinophilic syndrome,disease,Pruritus,effect/phenotype
23544,28414,14207,Imatinib,drug,idiopathic hypereosinophilic syndrome,disease,Myalgia,effect/phenotype
84764,27219,14208,Testosterone,drug,hypogonadotropic hypogonadism with or without anosmia,disease,Osteopenia,effect/phenotype
84363,28456,15558,Tolvaptan,drug,nephrogenic syndrome of inappropriate antidiuresis,disease,Hyponatremia,effect/phenotype
84420,28473,15126,Donepezil,drug,Pick disease,disease,Polyphagia,effect/phenotype
84420,28473,17174,Rivastigmine,drug,Pick disease,disease,Polyphagia,effect/phenotype
84704,28473,15126,Donepezil,drug,Pick disease,disease,Apathy,effect/phenotype
84704,28473,15113,Galantamine,drug,Pick disease,disease,Apathy,effect/phenotype
84704,28473,17174,Rivastigmine,drug,Pick disease,disease,Apathy,effect/phenotype
23279,28490,15477,Ezetimibe,drug,sitosterolemia,disease,Abnormality of the liver,effect/phenotype
23901,28490,15477,Ezetimibe,drug,sitosterolemia,disease,Arthralgia,effect/phenotype
23158,28490,15477,Ezetimibe,drug,sitosterolemia,disease,Abdominal pain,effect/phenotype
22718,28490,15477,Ezetimibe,drug,sitosterolemia,disease,Arthritis,effect/phenotype
94152,28520,14275,Doxorubicin,drug,myeloid leukemia,disease,Acute myeloid leukemia,effect/phenotype
84401,28005,15782,Vigabatrin,drug,developmental and epileptic encephalopathy,disease,Hyperkinetic movements,effect/phenotype
84401,28005,15231,Stiripentol,drug,developmental and epileptic encephalopathy,disease,Hyperkinetic movements,effect/phenotype
22998,28005,15782,Vigabatrin,drug,developmental and epileptic encephalopathy,disease,Gait disturbance,effect/phenotype
22262,28542,18755,Cromoglicic acid,drug,mastocytosis,disease,Edema,effect/phenotype
22262,28542,15144,Rabeprazole,drug,mastocytosis,disease,Edema,effect/phenotype
22262,28542,14207,Imatinib,drug,mastocytosis,disease,Edema,effect/phenotype
22581,28542,18755,Cromoglicic acid,drug,mastocytosis,disease,Erythema,effect/phenotype
22581,28542,15144,Rabeprazole,drug,mastocytosis,disease,Erythema,effect/phenotype
22581,28542,14207,Imatinib,drug,mastocytosis,disease,Erythema,effect/phenotype
23153,28547,15493,Bromocriptine,drug,Parkinson disease,disease,Parkinsonism,effect/phenotype
23153,28547,16842,Pramipexole,drug,Parkinson disease,disease,Parkinsonism,effect/phenotype
23153,28547,15291,Ropinirole,drug,Parkinson disease,disease,Parkinsonism,effect/phenotype
23153,28547,14806,Entacapone,drug,Parkinson disease,disease,Parkinsonism,effect/phenotype
84357,28547,15138,Selegiline,drug,Parkinson disease,disease,Bradykinesia,effect/phenotype
22442,28547,16842,Pramipexole,drug,Parkinson disease,disease,Dementia,effect/phenotype
22442,28547,15291,Ropinirole,drug,Parkinson disease,disease,Dementia,effect/phenotype
22442,28547,15138,Selegiline,drug,Parkinson disease,disease,Dementia,effect/phenotype
22442,28547,15333,Rasagiline,drug,Parkinson disease,disease,Dementia,effect/phenotype
23118,28547,16842,Pramipexole,drug,Parkinson disease,disease,Rigidity,effect/phenotype
23118,28547,15333,Rasagiline,drug,Parkinson disease,disease,Rigidity,effect/phenotype
22442,27248,15308,Riluzole,drug,amyotrophic lateral sclerosis,disease,Dementia,effect/phenotype
23096,28547,14830,Amantadine,drug,Parkinson disease,disease,Dyskinesia,effect/phenotype
23096,28547,14220,Apomorphine,drug,Parkinson disease,disease,Dyskinesia,effect/phenotype
23096,28547,15493,Bromocriptine,drug,Parkinson disease,disease,Dyskinesia,effect/phenotype
23096,28547,15490,Pergolide,drug,Parkinson disease,disease,Dyskinesia,effect/phenotype
23096,28547,16842,Pramipexole,drug,Parkinson disease,disease,Dyskinesia,effect/phenotype
23096,28547,15291,Ropinirole,drug,Parkinson disease,disease,Dyskinesia,effect/phenotype
23096,28547,15138,Selegiline,drug,Parkinson disease,disease,Dyskinesia,effect/phenotype
23096,28547,15193,Rotigotine,drug,Parkinson disease,disease,Dyskinesia,effect/phenotype
23096,28547,15333,Rasagiline,drug,Parkinson disease,disease,Dyskinesia,effect/phenotype
23096,28547,14806,Entacapone,drug,Parkinson disease,disease,Dyskinesia,effect/phenotype
23096,28547,15772,Tolcapone,drug,Parkinson disease,disease,Dyskinesia,effect/phenotype
22447,28547,14830,Amantadine,drug,Parkinson disease,disease,Anxiety,effect/phenotype
22447,28547,14220,Apomorphine,drug,Parkinson disease,disease,Anxiety,effect/phenotype
22447,28547,15493,Bromocriptine,drug,Parkinson disease,disease,Anxiety,effect/phenotype
22447,28547,15490,Pergolide,drug,Parkinson disease,disease,Anxiety,effect/phenotype
22447,28547,16842,Pramipexole,drug,Parkinson disease,disease,Anxiety,effect/phenotype
22447,28547,15291,Ropinirole,drug,Parkinson disease,disease,Anxiety,effect/phenotype
22447,28547,15138,Selegiline,drug,Parkinson disease,disease,Anxiety,effect/phenotype
22447,28547,15333,Rasagiline,drug,Parkinson disease,disease,Anxiety,effect/phenotype
22447,28547,14806,Entacapone,drug,Parkinson disease,disease,Anxiety,effect/phenotype
22447,28547,15772,Tolcapone,drug,Parkinson disease,disease,Anxiety,effect/phenotype
84673,28547,15493,Bromocriptine,drug,Parkinson disease,disease,Blepharospasm,effect/phenotype
84673,28547,16842,Pramipexole,drug,Parkinson disease,disease,Blepharospasm,effect/phenotype
84673,28547,15291,Ropinirole,drug,Parkinson disease,disease,Blepharospasm,effect/phenotype
84673,28547,15138,Selegiline,drug,Parkinson disease,disease,Blepharospasm,effect/phenotype
24423,27692,14023,Triamcinolone,drug,temporal arteritis,disease,Blindness,effect/phenotype
24199,27446,17286,Nitisinone,drug,tyrosinemia,disease,Hepatomegaly,effect/phenotype
22953,27446,17286,Nitisinone,drug,tyrosinemia,disease,Hypoglycemia,effect/phenotype
23079,27446,17286,Nitisinone,drug,tyrosinemia,disease,Gastrointestinal hemorrhage,effect/phenotype
24475,27446,17286,Nitisinone,drug,tyrosinemia,disease,Elevated hepatic transaminase,effect/phenotype
33751,27249,14208,Testosterone,drug,isolated growth hormone deficiency,disease,Pneumonia,effect/phenotype
22250,27249,14208,Testosterone,drug,isolated growth hormone deficiency,disease,Sinusitis,effect/phenotype
24285,28313,14952,Haloperidol,drug,schizophrenia,disease,Hyperactivity,effect/phenotype
24285,28313,14161,Olanzapine,drug,schizophrenia,disease,Hyperactivity,effect/phenotype
24285,28313,15127,Perphenazine,drug,schizophrenia,disease,Hyperactivity,effect/phenotype
24285,28313,14999,Quetiapine,drug,schizophrenia,disease,Hyperactivity,effect/phenotype
24285,28313,14223,Risperidone,drug,schizophrenia,disease,Hyperactivity,effect/phenotype
24285,28313,15177,Zuclopenthixol,drug,schizophrenia,disease,Hyperactivity,effect/phenotype
24285,28313,16317,Molindone,drug,schizophrenia,disease,Hyperactivity,effect/phenotype
24285,28313,14323,Aripiprazole,drug,schizophrenia,disease,Hyperactivity,effect/phenotype
24285,28313,14140,Ziprasidone,drug,schizophrenia,disease,Hyperactivity,effect/phenotype
24285,28313,15001,Paliperidone,drug,schizophrenia,disease,Hyperactivity,effect/phenotype
22966,28714,20339,Mannitol,drug,cystic fibrosis,disease,Dehydration,effect/phenotype
85059,28714,20339,Mannitol,drug,cystic fibrosis,disease,Hemoptysis,effect/phenotype
85059,28714,16036,Acetylcysteine,drug,cystic fibrosis,disease,Hemoptysis,effect/phenotype
24045,28764,14934,Cyclosporine,drug,Sjogren syndrome,disease,Rheumatoid arthritis,effect/phenotype
84549,28764,14934,Cyclosporine,drug,Sjogren syndrome,disease,Xerostomia,effect/phenotype
23000,28772,17303,Miglustat,drug,Gaucher disease,disease,Seizure,effect/phenotype
22934,28772,17303,Miglustat,drug,Gaucher disease,disease,Thrombocytopenia,effect/phenotype
22999,28780,15126,Donepezil,drug,Alzheimer disease,disease,Dysphagia,effect/phenotype
22999,28780,15113,Galantamine,drug,Alzheimer disease,disease,Dysphagia,effect/phenotype
22999,28780,17174,Rivastigmine,drug,Alzheimer disease,disease,Dysphagia,effect/phenotype
22998,28780,15126,Donepezil,drug,Alzheimer disease,disease,Gait disturbance,effect/phenotype
22998,28780,17174,Rivastigmine,drug,Alzheimer disease,disease,Gait disturbance,effect/phenotype
23000,28780,15126,Donepezil,drug,Alzheimer disease,disease,Seizure,effect/phenotype
23000,28780,15113,Galantamine,drug,Alzheimer disease,disease,Seizure,effect/phenotype
23000,28780,17174,Rivastigmine,drug,Alzheimer disease,disease,Seizure,effect/phenotype
22421,28780,15113,Galantamine,drug,Alzheimer disease,disease,Apraxia,effect/phenotype
22421,28780,17174,Rivastigmine,drug,Alzheimer disease,disease,Apraxia,effect/phenotype
23135,28780,15126,Donepezil,drug,Alzheimer disease,disease,Dysarthria,effect/phenotype
23135,28780,17174,Rivastigmine,drug,Alzheimer disease,disease,Dysarthria,effect/phenotype
22692,28780,15126,Donepezil,drug,Alzheimer disease,disease,Abnormality of extrapyramidal motor function,effect/phenotype
22692,28780,17174,Rivastigmine,drug,Alzheimer disease,disease,Abnormality of extrapyramidal motor function,effect/phenotype
22442,28780,15126,Donepezil,drug,Alzheimer disease,disease,Dementia,effect/phenotype
22442,28780,17174,Rivastigmine,drug,Alzheimer disease,disease,Dementia,effect/phenotype
23545,28780,17174,Rivastigmine,drug,Alzheimer disease,disease,Myoclonus,effect/phenotype
25269,28005,15782,Vigabatrin,drug,developmental and epileptic encephalopathy,disease,EEG abnormality,effect/phenotype
84357,28801,15138,Selegiline,drug,juvenile onset Parkinson disease 19A,disease,Bradykinesia,effect/phenotype
23153,28801,15493,Bromocriptine,drug,juvenile onset Parkinson disease 19A,disease,Parkinsonism,effect/phenotype
23153,28801,16842,Pramipexole,drug,juvenile onset Parkinson disease 19A,disease,Parkinsonism,effect/phenotype
23153,28801,15291,Ropinirole,drug,juvenile onset Parkinson disease 19A,disease,Parkinsonism,effect/phenotype
23153,28801,14806,Entacapone,drug,juvenile onset Parkinson disease 19A,disease,Parkinsonism,effect/phenotype
23000,28801,14830,Amantadine,drug,juvenile onset Parkinson disease 19A,disease,Seizure,effect/phenotype
23000,28801,15493,Bromocriptine,drug,juvenile onset Parkinson disease 19A,disease,Seizure,effect/phenotype
23000,28801,16842,Pramipexole,drug,juvenile onset Parkinson disease 19A,disease,Seizure,effect/phenotype
23000,28801,15291,Ropinirole,drug,juvenile onset Parkinson disease 19A,disease,Seizure,effect/phenotype
23000,28801,15138,Selegiline,drug,juvenile onset Parkinson disease 19A,disease,Seizure,effect/phenotype
23000,28801,15333,Rasagiline,drug,juvenile onset Parkinson disease 19A,disease,Seizure,effect/phenotype
23000,28801,14806,Entacapone,drug,juvenile onset Parkinson disease 19A,disease,Seizure,effect/phenotype
23135,28801,14830,Amantadine,drug,juvenile onset Parkinson disease 19A,disease,Dysarthria,effect/phenotype
23135,28801,16842,Pramipexole,drug,juvenile onset Parkinson disease 19A,disease,Dysarthria,effect/phenotype
23135,28801,15333,Rasagiline,drug,juvenile onset Parkinson disease 19A,disease,Dysarthria,effect/phenotype
23118,28801,16842,Pramipexole,drug,juvenile onset Parkinson disease 19A,disease,Rigidity,effect/phenotype
23118,28801,15333,Rasagiline,drug,juvenile onset Parkinson disease 19A,disease,Rigidity,effect/phenotype
23113,28801,14830,Amantadine,drug,juvenile onset Parkinson disease 19A,disease,Hallucinations,effect/phenotype
23113,28801,14220,Apomorphine,drug,juvenile onset Parkinson disease 19A,disease,Hallucinations,effect/phenotype
