drug_index,disease_index,related_phenotypes,related_proteins,drug_name,drug_type,disease_name,disease_type
14733,33680,"[22186, 25908, 89614]","[8192, 13313, 11267, 5640, 8205, 2576, 1557, 22, 9239, 5155, 10285, 5679, 2621, 3135, 2111, 22088, 1097, 2633, 587, 8267, 6217, 1611, 7754, 22090, 4170, 4176, 10322, 1108, 5720, 22106, 102, 10346, 5740, 625, 1650, 2675, 4212, 13430, 9340, 125, 5248, 12420, 4748, 141, 668, 5277, 2718, 3233, 1700, 1704, 9898, 683, 5807, 34480, 2749, 1216, 2756, 7382, 3800, 7898, 735, 8415, 34017, 227, 12519, 8432, 2289, 4337, 10993, 12537, 4347, 10492, 6398, 3839, 4358, 4872, 3849, 5388, 2318, 271, 3346, 2837, 9494, 8988, 285, 8477, 1319, 1832, 9003, 1836, 5932, 5422, 6959, 2863, 3373, 12077, 13103, 2356, 9527, 34619, 13628, 3901, 2366, 6469, 9543, 4425, 11084, 34648, 7513, 34649, 34650, 3932, 1373, 862, 4446, 10592, 8540, 11617, 34651, 34652, 34653, 34654, 12653, 9076, 7032, 5500, 892, 5502, 12165, 9094, 7047, 4488, 12682, 3471, 7056, 3472, 8092, 1953, 5542, 2983, 12202, 13740, 9133, 9138, 11703, 7105, 1987, 34244, 2503, 13774, 8662, 12255, 992, 7140, 21990, 4585, 9196, 502, 22007, 509, 1535]",Levomefolic acid,drug,endometriosis (disease),disease
14273,31493,"[24224, 87330, 26180, 22759, 86573, 23950, 86161, 23158]","[12165, 33925, 33926, 10376, 33929, 2698, 34056, 33934, 33935, 33938, 35104, 5671, 33960, 22057, 12842, 7083, 22059, 12334, 34223, 12079, 3761, 34225, 34226, 34228, 34231, 1592, 3384, 35129, 34237, 574, 34879, 5949, 34756, 34758, 1992, 457, 4425, 34892, 34893, 34894, 21967, 34895, 34896, 4818, 34897, 12244, 213, 34898, 34899, 4315, 33884, 34268, 10333, 34271, 33887, 34273, 34789, 11239, 34279, 34281, 34283, 9196, 34289, 34293, 35068]",Azathioprine,drug,pancreatitis,disease
20401,31757,"[84608, 22307, 85872, 84885, 24441]","[642, 22019, 22020, 4486, 5897, 22025, 22031, 12454, 4265, 4655, 1596, 460, 12877, 8015, 209, 9822, 1378, 3941, 4071, 7277, 238, 7149, 7153, 3698, 7665]",Paromomycin,drug,X-linked mixed deafness with perilymphatic gusher,disease
14952,27326,"[89225, 94223, 26257, 84369, 94225, 84887, 23833, 23834, 88859, 22827, 22828, 23728, 22846, 25672, 22859, 84940, 22759, 86141, 25469, 23934]","[7177, 9233, 34962, 7198, 1968, 177, 10417, 35250, 945, 61, 1221, 201, 4447, 1760, 2784, 11497, 10608, 242, 9466, 3967]",Haloperidol,drug,long QT syndrome,disease
20343,30035,"[25308, 90791]","[8192, 34820, 34821, 8198, 12295, 34822, 2057, 34823, 34824, 34825, 34826, 34827, 15, 12304, 34828, 34829, 34830, 8212, 34831, 22, 34832, 8216, 34833, 12315, 29, 6175, 8230, 43, 2096, 10293, 4151, 6199, 4152, 61, 4171, 6220, 12367, 4175, 2134, 2143, 6244, 2151, 10346, 4213, 4215, 125, 4221, 2188, 144, 178, 6328, 6329, 12479, 12482, 197, 2248, 12489, 12510, 2277, 6374, 10470, 2281, 8437, 8439, 248, 12537, 12538, 10491, 12539, 10495, 8454, 8464, 4369, 6418, 2322, 35088, 10518, 6424, 12571, 6428, 8476, 286, 287, 6440, 12586, 8497, 6453, 6457, 10556, 10559, 321, 12611, 4420, 4425, 2379, 2387, 12629, 341, 2396, 2398, 2401, 363, 12653, 4468, 375, 381, 12671, 4480, 6529, 389, 390, 4489, 6541, 12691, 2452, 10645, 10654, 418, 2472, 10667, 12724, 4536, 2499, 452, 457, 4554, 4566, 4582, 492, 4593, 10744, 4601, 509, 8702, 6657, 4618, 4620, 10764, 526, 527, 525, 10771, 532, 8726, 6679, 2591, 6691, 8747, 560, 10805, 587, 8781, 4686, 10833, 10835, 6739, 6740, 610, 2672, 12915, 8829, 8832, 12931, 2692, 647, 6792, 12937, 8855, 6808, 4760, 666, 676, 2741, 4794, 12987, 4814, 4815, 13024, 2789, 744, 8936, 748, 2797, 6898, 10997, 8960, 11011, 2820, 2825, 13075, 8979, 799, 11043, 8999, 13097, 4909, 4910, 6964, 11062, 11066, 13115, 9021, 4932, 9029, 4937, 4941, 13147, 7006, 864, 866, 9060, 11123, 11136, 11147, 5009, 2966, 5018, 2983, 11179, 2992, 11185, 9148, 13248, 7110, 5063, 968, 5065, 974, 11215, 983, 985, 9180, 11235, 5092, 11239, 9196, 1004, 5100, 1012, 5109, 1014, 11253, 13309, 13313, 5122, 11267, 3080, 5130, 33805, 13330, 33818, 3100, 1057, 5156, 11301, 3111, 13355, 1069, 33840, 33851, 33856, 1089, 33867, 1101, 33870, 33885, 7266, 7267, 5228, 13423, 3199, 1151, 5256, 1162, 13457, 33938, 11412, 9373, 3235, 33955, 33956, 13479, 5292, 33964, 9399, 5306, 3259, 7359, 33985, 1228, 34005, 11479, 1246, 34026, 34027, 34028, 34029, 34030, 34031, 34032, 34033, 34034, 34035, 34036, 34037, 34038, 34039, 34040, 34041, 34042, 34043, 34044, 34045, 34046, 13560, 11523, 1289, 5388, 9487, 3344, 11536, 11539, 9500, 11548, 1311, 1312, 1320, 7466, 3379, 5429, 1335, 3384, 5439, 7490, 7497, 1357, 5454, 13647, 7506, 9558, 3417, 1373, 9574, 1385, 5491, 13688, 7546, 34176, 5507, 3465, 5513, 3466, 3474, 1428, 13718, 9640, 7615, 1475, 1480, 9679, 21972, 1497, 11738, 1503, 13800, 13807, 34290, 9718, 11768, 5624, 11771, 5638, 22024, 13841, 22038, 22039, 5655, 22043, 1567, 11808, 7716, 22057, 3628, 5677, 22068, 13877, 13878, 34358, 3648, 7747, 1605, 22092, 34382, 11857, 7764, 5720, 13915, 3688, 11881, 1650, 13939, 7801, 1658, 1659, 1665, 34434, 5765, 13987, 3764, 9915, 3774, 7877, 9929, 11978, 11992, 5856, 1760, 3812, 1770, 5877, 1785, 34553, 34555, 1798, 1803, 1810, 7955, 7968, 3879, 1836, 7981, 7986, 34612, 1850, 3901, 10047, 34629, 1863, 1866, 5963, 8013, 10062, 10066, 1876, 10074, 3932, 8029, 34654, 1887, 10084, 10093, 1908, 10102, 12166, 1927, 1929, 3980, 12173, 10129, 34722, 4003, 34723, 34724, 34725, 34726, 34727, 34728, 10154, 34729, 34730, 8109, 34731, 34732, 34733, 34734, 34735, 34736, 10164, 34737, 1968, 4023, 4026, 8130, 8136, 6090, 12236, 1996, 12238, 2001, 2002, 4063, 10215, 34792, 34793, 10218, 2027]",Chloral hydrate,drug,substance abuse/dependence,disease
20321,30035,"[25308, 90791]","[8192, 34820, 34821, 8198, 12295, 34822, 2057, 34823, 34824, 34825, 34826, 34827, 15, 12304, 34828, 34829, 34830, 8212, 34831, 22, 34832, 8216, 34833, 12315, 29, 6175, 8230, 43, 2096, 10293, 4151, 6199, 4152, 61, 4171, 6220, 12367, 4175, 2134, 2143, 6244, 2151, 10346, 4213, 4215, 125, 4221, 2188, 144, 178, 6328, 6329, 12479, 12482, 197, 2248, 12489, 12510, 2277, 6374, 10470, 2281, 8437, 8439, 248, 12537, 12538, 10491, 12539, 10495, 8454, 8464, 4369, 6418, 2322, 35088, 10518, 6424, 12571, 6428, 8476, 286, 287, 6440, 12586, 8497, 6453, 6457, 10556, 10559, 321, 12611, 4420, 4425, 2379, 2387, 12629, 341, 2396, 2398, 2401, 363, 12653, 4468, 375, 381, 12671, 4480, 6529, 389, 390, 4489, 6541, 12691, 2452, 10645, 10654, 418, 2472, 10667, 12724, 4536, 2499, 452, 457, 4554, 4566, 4582, 492, 4593, 10744, 4601, 509, 8702, 6657, 4618, 4620, 10764, 526, 527, 525, 10771, 532, 8726, 6679, 2591, 6691, 8747, 560, 10805, 587, 8781, 4686, 10833, 10835, 6739, 6740, 610, 2672, 12915, 8829, 8832, 12931, 2692, 647, 6792, 12937, 8855, 6808, 4760, 666, 676, 2741, 4794, 12987, 4814, 4815, 13024, 2789, 744, 8936, 748, 2797, 6898, 10997, 8960, 11011, 2820, 2825, 13075, 8979, 799, 11043, 8999, 13097, 4909, 4910, 6964, 11062, 11066, 13115, 9021, 4932, 9029, 4937, 4941, 13147, 7006, 864, 866, 9060, 11123, 11136, 11147, 5009, 2966, 5018, 2983, 11179, 2992, 11185, 9148, 13248, 7110, 5063, 968, 5065, 974, 11215, 983, 985, 9180, 11235, 5092, 11239, 9196, 1004, 5100, 1012, 5109, 1014, 11253, 13309, 13313, 5122, 11267, 3080, 5130, 33805, 13330, 33818, 3100, 1057, 5156, 11301, 3111, 13355, 1069, 33840, 33851, 33856, 1089, 33867, 1101, 33870, 33885, 7266, 7267, 5228, 13423, 3199, 1151, 5256, 1162, 13457, 33938, 11412, 9373, 3235, 33955, 33956, 13479, 5292, 33964, 9399, 5306, 3259, 7359, 33985, 1228, 34005, 11479, 1246, 34026, 34027, 34028, 34029, 34030, 34031, 34032, 34033, 34034, 34035, 34036, 34037, 34038, 34039, 34040, 34041, 34042, 34043, 34044, 34045, 34046, 13560, 11523, 1289, 5388, 9487, 3344, 11536, 11539, 9500, 11548, 1311, 1312, 1320, 7466, 3379, 5429, 1335, 3384, 5439, 7490, 7497, 1357, 5454, 13647, 7506, 9558, 3417, 1373, 9574, 1385, 5491, 13688, 7546, 34176, 5507, 3465, 5513, 3466, 3474, 1428, 13718, 9640, 7615, 1475, 1480, 9679, 21972, 1497, 11738, 1503, 13800, 13807, 34290, 9718, 11768, 5624, 11771, 5638, 22024, 13841, 22038, 22039, 5655, 22043, 1567, 11808, 7716, 22057, 3628, 5677, 22068, 13877, 13878, 34358, 3648, 7747, 1605, 22092, 34382, 11857, 7764, 5720, 13915, 3688, 11881, 1650, 13939, 7801, 1658, 1659, 1665, 34434, 5765, 13987, 3764, 9915, 3774, 7877, 9929, 11978, 11992, 5856, 1760, 3812, 1770, 5877, 1785, 34553, 34555, 1798, 1803, 1810, 7955, 7968, 3879, 1836, 7981, 7986, 34612, 1850, 3901, 10047, 34629, 1863, 1866, 5963, 8013, 10062, 10066, 1876, 10074, 3932, 8029, 34654, 1887, 10084, 10093, 1908, 10102, 12166, 1927, 1929, 3980, 12173, 10129, 34722, 4003, 34723, 34724, 34725, 34726, 34727, 34728, 10154, 34729, 34730, 8109, 34731, 34732, 34733, 34734, 34735, 34736, 10164, 34737, 1968, 4023, 4026, 8130, 8136, 6090, 12236, 1996, 12238, 2001, 2002, 4063, 10215, 34792, 34793, 10218, 2027]",Methscopolamine,drug,substance abuse/dependence,disease
15110,33632,"[94305, 22921, 94349, 22929, 23729, 94200, 94363]","[11136, 2434, 130, 7815, 6664, 6926, 2834, 789, 2329, 8733, 6175, 3231, 802, 1322, 2861, 34607, 3509, 568, 2617, 2621, 22077, 7489, 2371, 4550, 8391, 1611, 12629, 3932, 4959, 10084, 8805, 8038, 8556, 2037, 10998, 1535]",Fluphenazine,drug,anemia (disease),disease
16317,28547,"[25858, 84357, 24327, 25224, 24331, 23564, 22679, 22680, 22682, 91430, 84675, 22441, 22442, 22443, 22447, 90031, 23089, 23096, 85560, 85561, 85179, 85562, 23101, 23736, 24379, 85184, 84673, 26305, 23483, 26180, 84932, 24262, 84679, 22344, 23113, 23495, 91467, 86987, 24269, 23118, 85065, 89929, 25914, 85074, 85586, 85588, 26706, 22998, 84695, 22999, 89049, 24281, 23515, 85078, 84694, 24286, 23135, 94176, 84577, 84704, 84700, 84708, 22759, 93516, 84409, 26606, 26607, 23153, 85618, 89076, 93302, 89335, 23545]","[8192, 22017, 519, 11, 8212, 9237, 1567, 6175, 6182, 1066, 13355, 557, 12339, 5176, 4152, 2111, 2114, 34374, 6729, 4173, 6739, 4184, 6751, 608, 1650, 3192, 7801, 3199, 3715, 138, 9357, 8855, 664, 9889, 4261, 4784, 3761, 1201, 4278, 1721, 6329, 3774, 6848, 213, 1771, 7404, 7410, 5877, 2296, 3841, 4366, 9487, 6933, 2329, 286, 1311, 5416, 11049, 12586, 34092, 3373, 9005, 5947, 1340, 1863, 1866, 8021, 341, 12120, 4959, 2401, 10082, 2915, 361, 10613, 373, 379, 4485, 13205, 405, 13718, 3490, 2979, 4519, 2984, 13228, 34738, 34739, 34740, 11189, 4536, 35257, 4550, 457, 5581, 1497, 991, 34273, 6116, 34797, 13807, 1012, 7161, 1531]",Molindone,drug,Parkinson disease,disease
14042,29229,"[22369, 94145, 22339, 26180, 22759, 94219, 87212, 84654, 94511, 84887, 87260]","[12769, 6341, 12454, 236, 34416, 2289, 6258, 2674, 4887, 11256, 2331, 6815]",Hydrocortisone acetate,drug,glaucoma,disease
16057,31650,"[25488, 22928, 86163, 23446, 22304, 23458, 23844, 93481, 25644, 22323, 23731, 22716, 84928, 84800, 84675, 22467, 23494, 90316, 90318, 88402, 85334, 22999, 23000, 25307, 25308, 25950, 23135, 22497, 25954, 23011, 89315, 24045, 90741, 22392, 84857, 84734]","[2400, 1760, 5325, 8432, 1843, 1148]",Hyoscyamine,drug,myasthenia gravis,disease
15132,32719,"[22272, 23298, 85891, 88450, 22791, 25608, 22282, 22675, 26771, 84628, 23189, 22679, 22681, 22304, 24611, 24100, 25381, 22183, 25644, 22191, 22447, 22831, 85300, 25654, 22585, 22204, 89407, 84930, 84803, 22341, 22343, 22472, 22984, 85194, 22478, 22480, 22484, 84695, 22488, 26983, 22250, 23915, 22252, 84460, 22133, 25974, 22264, 84729, 24444, 23166]","[2432, 22017, 34594, 4387, 22019, 35269, 12454, 4615, 424, 13673, 35209, 11727, 7951, 13586, 6642, 8376, 33915, 2175]",Hydrocodone,drug,congenital hypothyroidism,disease
14148,28194,"[90741, 25245, 22759]","[5176, 6627, 6926]",Atomoxetine,drug,Raynaud disease,disease
